year,area,scenario,mode,value,series
2012,Region12,obs,bus,0.291,obs
2013,Region12,obs,bus,0.319,obs
2014,Region12,obs,bus,0.318,obs
2015,Region12,obs,bus,0.319,obs
2016,Region12,obs,bus,0.157,obs
2017,Region12,obs,bus,0.132,obs
2018,Region12,obs,bus,0.128,obs
2019,Region12,obs,bus,0.112,obs
2020,Region12,obs,bus,0.09,obs
2021,Region12,obs,bus,0.09,obs
2022,Region12,obs,bus,0.093,obs
2023,Region12,obs,bus,0.107,obs
2012,Region12,s0,bus,0.291,sim
2013,Region12,s0,bus,0.2723618219450894,sim
2014,Region12,s0,bus,0.3020860722322274,sim
2015,Region12,s0,bus,0.3077962111469864,sim
2016,Region12,s0,bus,0.2195865492609572,sim
2017,Region12,s0,bus,0.1707437452134632,sim
2018,Region12,s0,bus,0.1443981402694644,sim
2019,Region12,s0,bus,0.1258888706901419,sim
2020,Region12,s0,bus,0.1074750792652735,sim
2021,Region12,s0,bus,0.101135565318128,sim
2022,Region12,s0,bus,0.1000330329421634,sim
2023,Region12,s0,bus,0.106828810458566,sim
2024,Region12,s0,bus,0.1043440330071253,sim
2025,Region12,s0,bus,0.1076530161878183,sim
2026,Region12,s0,bus,0.1091809260992104,sim
2027,Region12,s0,bus,0.1110236688858466,sim
2028,Region12,s0,bus,0.1119220817960469,sim
2029,Region12,s0,bus,0.112395020706115,sim
2030,Region12,s0,bus,0.1125771662053982,sim
2012,Region12,s1,bus,0.291,sim
2013,Region12,s1,bus,0.2723618219450894,sim
2014,Region12,s1,bus,0.3020860722322274,sim
2015,Region12,s1,bus,0.3077962111469864,sim
2016,Region12,s1,bus,0.2195865492609572,sim
2017,Region12,s1,bus,0.1707437452134632,sim
2018,Region12,s1,bus,0.1443981402694644,sim
2019,Region12,s1,bus,0.1258888706901419,sim
2020,Region12,s1,bus,0.1074750792652735,sim
2021,Region12,s1,bus,0.101135565318128,sim
2022,Region12,s1,bus,0.1000330329421634,sim
2023,Region12,s1,bus,0.106828810458566,sim
2024,Region12,s1,bus,0.1043440330071253,sim
2025,Region12,s1,bus,0.1076530161878183,sim
2026,Region12,s1,bus,0.1095572884877468,sim
2027,Region12,s1,bus,0.1115193658039892,sim
2028,Region12,s1,bus,0.1127125653635764,sim
2029,Region12,s1,bus,0.1132927017258421,sim
2030,Region12,s1,bus,0.113704587029354,sim
2012,Region12,s10,bus,0.291,sim
2013,Region12,s10,bus,0.2723618219450894,sim
2014,Region12,s10,bus,0.3020860722322274,sim
2015,Region12,s10,bus,0.3077962111469864,sim
2016,Region12,s10,bus,0.2195865492609572,sim
2017,Region12,s10,bus,0.1707437452134632,sim
2018,Region12,s10,bus,0.1443981402694644,sim
2019,Region12,s10,bus,0.1258888706901419,sim
2020,Region12,s10,bus,0.1074750792652735,sim
2021,Region12,s10,bus,0.101135565318128,sim
2022,Region12,s10,bus,0.1000330329421634,sim
2023,Region12,s10,bus,0.106828810458566,sim
2024,Region12,s10,bus,0.1120235858810737,sim
2025,Region12,s10,bus,0.1179031881367394,sim
2026,Region12,s10,bus,0.1212534457579236,sim
2027,Region12,s10,bus,0.1246993294636423,sim
2028,Region12,s10,bus,0.1264459176504843,sim
2029,Region12,s10,bus,0.1269694093722191,sim
2030,Region12,s10,bus,0.1272218966468628,sim
2012,Region12,s11,bus,0.291,sim
2013,Region12,s11,bus,0.2723618219450894,sim
2014,Region12,s11,bus,0.3020860722322274,sim
2015,Region12,s11,bus,0.3077962111469864,sim
2016,Region12,s11,bus,0.2195865492609572,sim
2017,Region12,s11,bus,0.1707437452134632,sim
2018,Region12,s11,bus,0.1443981402694644,sim
2019,Region12,s11,bus,0.1258888706901419,sim
2020,Region12,s11,bus,0.1074750792652735,sim
2021,Region12,s11,bus,0.101135565318128,sim
2022,Region12,s11,bus,0.1000330329421634,sim
2023,Region12,s11,bus,0.106828810458566,sim
2024,Region12,s11,bus,0.1094869298639997,sim
2025,Region12,s11,bus,0.1141220215920187,sim
2026,Region12,s11,bus,0.1184295801523352,sim
2027,Region12,s11,bus,0.1219771511430992,sim
2028,Region12,s11,bus,0.1254042803214688,sim
2029,Region12,s11,bus,0.1268361649595843,sim
2030,Region12,s11,bus,0.128205849460194,sim
2012,Region12,s2,bus,0.291,sim
2013,Region12,s2,bus,0.2723618219450894,sim
2014,Region12,s2,bus,0.3020860722322274,sim
2015,Region12,s2,bus,0.3077962111469864,sim
2016,Region12,s2,bus,0.2195865492609572,sim
2017,Region12,s2,bus,0.1707437452134632,sim
2018,Region12,s2,bus,0.1443981402694644,sim
2019,Region12,s2,bus,0.1258888706901419,sim
2020,Region12,s2,bus,0.1074750792652735,sim
2021,Region12,s2,bus,0.101135565318128,sim
2022,Region12,s2,bus,0.1000330329421634,sim
2023,Region12,s2,bus,0.106828810458566,sim
2024,Region12,s2,bus,0.1043440330071253,sim
2025,Region12,s2,bus,0.1076530161878183,sim
2026,Region12,s2,bus,0.110058289738537,sim
2027,Region12,s2,bus,0.1122090215887924,sim
2028,Region12,s2,bus,0.1137884063942311,sim
2029,Region12,s2,bus,0.1147797805079902,sim
2030,Region12,s2,bus,0.1164412676162052,sim
2012,Region12,s3,bus,0.291,sim
2013,Region12,s3,bus,0.2723618219450894,sim
2014,Region12,s3,bus,0.3020860722322274,sim
2015,Region12,s3,bus,0.3077962111469864,sim
2016,Region12,s3,bus,0.2195865492609572,sim
2017,Region12,s3,bus,0.1707437452134632,sim
2018,Region12,s3,bus,0.1443981402694644,sim
2019,Region12,s3,bus,0.1258888706901419,sim
2020,Region12,s3,bus,0.1074750792652735,sim
2021,Region12,s3,bus,0.101135565318128,sim
2022,Region12,s3,bus,0.1000330329421634,sim
2023,Region12,s3,bus,0.106828810458566,sim
2024,Region12,s3,bus,0.1043440330071253,sim
2025,Region12,s3,bus,0.1076530161878183,sim
2026,Region12,s3,bus,0.1096156811376156,sim
2027,Region12,s3,bus,0.1115922582582969,sim
2028,Region12,s3,bus,0.113036749245471,sim
2029,Region12,s3,bus,0.1136936544618031,sim
2030,Region12,s3,bus,0.1145044789127508,sim
2012,Region12,s4,bus,0.291,sim
2013,Region12,s4,bus,0.2723618219450894,sim
2014,Region12,s4,bus,0.3020860722322274,sim
2015,Region12,s4,bus,0.3077962111469864,sim
2016,Region12,s4,bus,0.2195865492609572,sim
2017,Region12,s4,bus,0.1707437452134632,sim
2018,Region12,s4,bus,0.1443981402694644,sim
2019,Region12,s4,bus,0.1258888706901419,sim
2020,Region12,s4,bus,0.1074750792652735,sim
2021,Region12,s4,bus,0.101135565318128,sim
2022,Region12,s4,bus,0.1000330329421634,sim
2023,Region12,s4,bus,0.106828810458566,sim
2024,Region12,s4,bus,0.109485840713981,sim
2025,Region12,s4,bus,0.114603243404375,sim
2026,Region12,s4,bus,0.1167284285605742,sim
2027,Region12,s4,bus,0.118876540099257,sim
2028,Region12,s4,bus,0.1193443477454483,sim
2029,Region12,s4,bus,0.1197113494826586,sim
2030,Region12,s4,bus,0.1198621416831307,sim
2012,Region12,s5,bus,0.291,sim
2013,Region12,s5,bus,0.2723618219450894,sim
2014,Region12,s5,bus,0.3020860722322274,sim
2015,Region12,s5,bus,0.3077962111469864,sim
2016,Region12,s5,bus,0.2195865492609572,sim
2017,Region12,s5,bus,0.1707437452134632,sim
2018,Region12,s5,bus,0.1443981402694644,sim
2019,Region12,s5,bus,0.1258888706901419,sim
2020,Region12,s5,bus,0.1074750792652735,sim
2021,Region12,s5,bus,0.101135565318128,sim
2022,Region12,s5,bus,0.1000330329421634,sim
2023,Region12,s5,bus,0.106828810458566,sim
2024,Region12,s5,bus,0.1068796444953228,sim
2025,Region12,s5,bus,0.1106322808767587,sim
2026,Region12,s5,bus,0.1130896411656266,sim
2027,Region12,s5,bus,0.1159485857105832,sim
2028,Region12,s5,bus,0.1178719978947385,sim
2029,Region12,s5,bus,0.1186271944300781,sim
2030,Region12,s5,bus,0.1188972200299131,sim
2012,Region12,s6,bus,0.291,sim
2013,Region12,s6,bus,0.2723618219450894,sim
2014,Region12,s6,bus,0.3020860722322274,sim
2015,Region12,s6,bus,0.3077962111469864,sim
2016,Region12,s6,bus,0.2195865492609572,sim
2017,Region12,s6,bus,0.1707437452134632,sim
2018,Region12,s6,bus,0.1443981402694644,sim
2019,Region12,s6,bus,0.1258888706901419,sim
2020,Region12,s6,bus,0.1074750792652735,sim
2021,Region12,s6,bus,0.101135565318128,sim
2022,Region12,s6,bus,0.1000330329421634,sim
2023,Region12,s6,bus,0.106828810458566,sim
2024,Region12,s6,bus,0.1090230658007332,sim
2025,Region12,s6,bus,0.1139413350966811,sim
2026,Region12,s6,bus,0.1162659139269344,sim
2027,Region12,s6,bus,0.1185294554602327,sim
2028,Region12,s6,bus,0.1197494986706275,sim
2029,Region12,s6,bus,0.1204477060451717,sim
2030,Region12,s6,bus,0.1208966923000006,sim
2012,Region12,s7,bus,0.291,sim
2013,Region12,s7,bus,0.2723618219450894,sim
2014,Region12,s7,bus,0.3020860722322274,sim
2015,Region12,s7,bus,0.3077962111469864,sim
2016,Region12,s7,bus,0.2195865492609572,sim
2017,Region12,s7,bus,0.1707437452134632,sim
2018,Region12,s7,bus,0.1443981402694644,sim
2019,Region12,s7,bus,0.1258888706901419,sim
2020,Region12,s7,bus,0.1074750792652735,sim
2021,Region12,s7,bus,0.101135565318128,sim
2022,Region12,s7,bus,0.1000330329421634,sim
2023,Region12,s7,bus,0.106828810458566,sim
2024,Region12,s7,bus,0.1043440330071253,sim
2025,Region12,s7,bus,0.1076530161878183,sim
2026,Region12,s7,bus,0.1091809260992104,sim
2027,Region12,s7,bus,0.1110236688858466,sim
2028,Region12,s7,bus,0.1119220817960469,sim
2029,Region12,s7,bus,0.112395020706115,sim
2030,Region12,s7,bus,0.1125771662053982,sim
2012,Region12,s8,bus,0.291,sim
2013,Region12,s8,bus,0.2723618219450894,sim
2014,Region12,s8,bus,0.3020860722322274,sim
2015,Region12,s8,bus,0.3077962111469864,sim
2016,Region12,s8,bus,0.2195865492609572,sim
2017,Region12,s8,bus,0.1707437452134632,sim
2018,Region12,s8,bus,0.1443981402694644,sim
2019,Region12,s8,bus,0.1258888706901419,sim
2020,Region12,s8,bus,0.1074750792652735,sim
2021,Region12,s8,bus,0.101135565318128,sim
2022,Region12,s8,bus,0.1000330329421634,sim
2023,Region12,s8,bus,0.106828810458566,sim
2024,Region12,s8,bus,0.1144679548354805,sim
2025,Region12,s8,bus,0.1215189621762233,sim
2026,Region12,s8,bus,0.1249696419346612,sim
2027,Region12,s8,bus,0.1276768222846649,sim
2028,Region12,s8,bus,0.1288983099537729,sim
2029,Region12,s8,bus,0.1295816872523885,sim
2030,Region12,s8,bus,0.1302925569615406,sim
2012,Region12,s9,bus,0.291,sim
2013,Region12,s9,bus,0.2723618219450894,sim
2014,Region12,s9,bus,0.3020860722322274,sim
2015,Region12,s9,bus,0.3077962111469864,sim
2016,Region12,s9,bus,0.2195865492609572,sim
2017,Region12,s9,bus,0.1707437452134632,sim
2018,Region12,s9,bus,0.1443981402694644,sim
2019,Region12,s9,bus,0.1258888706901419,sim
2020,Region12,s9,bus,0.1074750792652735,sim
2021,Region12,s9,bus,0.101135565318128,sim
2022,Region12,s9,bus,0.1000330329421634,sim
2023,Region12,s9,bus,0.106828810458566,sim
2024,Region12,s9,bus,0.1094725171370887,sim
2025,Region12,s9,bus,0.1143329625757432,sim
2026,Region12,s9,bus,0.1176891757288206,sim
2027,Region12,s9,bus,0.1206473510222548,sim
2028,Region12,s9,bus,0.1229098821241415,sim
2029,Region12,s9,bus,0.1240963643982022,sim
2030,Region12,s9,bus,0.1260706330601924,sim
2012,Region12,obs,car,0.174,obs
2013,Region12,obs,car,0.168,obs
2014,Region12,obs,car,0.167,obs
2015,Region12,obs,car,0.16,obs
2016,Region12,obs,car,0.213,obs
2017,Region12,obs,car,0.219,obs
2018,Region12,obs,car,0.233,obs
2019,Region12,obs,car,0.239,obs
2020,Region12,obs,car,0.282,obs
2021,Region12,obs,car,0.266,obs
2022,Region12,obs,car,0.244,obs
2023,Region12,obs,car,0.2,obs
2012,Region12,s0,car,0.174,sim
2013,Region12,s0,car,0.1696457809629256,sim
2014,Region12,s0,car,0.1619355251542501,sim
2015,Region12,s0,car,0.1571107415094187,sim
2016,Region12,s0,car,0.1873266652366208,sim
2017,Region12,s0,car,0.2033560139092065,sim
2018,Region12,s0,car,0.21308177373457,sim
2019,Region12,s0,car,0.2253588169896825,sim
2020,Region12,s0,car,0.2501839947817428,sim
2021,Region12,s0,car,0.2517150518192176,sim
2022,Region12,s0,car,0.2378492560450463,sim
2023,Region12,s0,car,0.2126119857630489,sim
2024,Region12,s0,car,0.2198585795004265,sim
2025,Region12,s0,car,0.2143111837534519,sim
2026,Region12,s0,car,0.2109647446747155,sim
2027,Region12,s0,car,0.2103329456253022,sim
2028,Region12,s0,car,0.2107092778203136,sim
2029,Region12,s0,car,0.2110516976266978,sim
2030,Region12,s0,car,0.2108869508831757,sim
2012,Region12,s1,car,0.174,sim
2013,Region12,s1,car,0.1696457809629256,sim
2014,Region12,s1,car,0.1619355251542501,sim
2015,Region12,s1,car,0.1571107415094187,sim
2016,Region12,s1,car,0.1873266652366208,sim
2017,Region12,s1,car,0.2033560139092065,sim
2018,Region12,s1,car,0.21308177373457,sim
2019,Region12,s1,car,0.2253588169896825,sim
2020,Region12,s1,car,0.2501839947817428,sim
2021,Region12,s1,car,0.2517150518192176,sim
2022,Region12,s1,car,0.2378492560450463,sim
2023,Region12,s1,car,0.2126119857630489,sim
2024,Region12,s1,car,0.2198585795004265,sim
2025,Region12,s1,car,0.2143111837534519,sim
2026,Region12,s1,car,0.2097996057839973,sim
2027,Region12,s1,car,0.20882734871581,sim
2028,Region12,s1,car,0.2083505112506139,sim
2029,Region12,s1,car,0.2084405871244322,sim
2030,Region12,s1,car,0.2076248763224611,sim
2012,Region12,s10,car,0.174,sim
2013,Region12,s10,car,0.1696457809629256,sim
2014,Region12,s10,car,0.1619355251542501,sim
2015,Region12,s10,car,0.1571107415094187,sim
2016,Region12,s10,car,0.1873266652366208,sim
2017,Region12,s10,car,0.2033560139092065,sim
2018,Region12,s10,car,0.21308177373457,sim
2019,Region12,s10,car,0.2253588169896825,sim
2020,Region12,s10,car,0.2501839947817428,sim
2021,Region12,s10,car,0.2517150518192176,sim
2022,Region12,s10,car,0.2378492560450463,sim
2023,Region12,s10,car,0.2126119857630489,sim
2024,Region12,s10,car,0.2084858324523686,sim
2025,Region12,s10,car,0.203230453315175,sim
2026,Region12,s10,car,0.1997289440438287,sim
2027,Region12,s10,car,0.1987958991565825,sim
2028,Region12,s10,car,0.1987940283289548,sim
2029,Region12,s10,car,0.1985530913044863,sim
2030,Region12,s10,car,0.1975703005607799,sim
2012,Region12,s11,car,0.174,sim
2013,Region12,s11,car,0.1696457809629256,sim
2014,Region12,s11,car,0.1619355251542501,sim
2015,Region12,s11,car,0.1571107415094187,sim
2016,Region12,s11,car,0.1873266652366208,sim
2017,Region12,s11,car,0.2033560139092065,sim
2018,Region12,s11,car,0.21308177373457,sim
2019,Region12,s11,car,0.2253588169896825,sim
2020,Region12,s11,car,0.2501839947817428,sim
2021,Region12,s11,car,0.2517150518192176,sim
2022,Region12,s11,car,0.2378492560450463,sim
2023,Region12,s11,car,0.2126119857630489,sim
2024,Region12,s11,car,0.2136297441076421,sim
2025,Region12,s11,car,0.2090558996642127,sim
2026,Region12,s11,car,0.2014964287129022,sim
2027,Region12,s11,car,0.199351450985057,sim
2028,Region12,s11,car,0.1951683389156803,sim
2029,Region12,s11,car,0.1932501558534178,sim
2030,Region12,s11,car,0.1896421745102328,sim
2012,Region12,s2,car,0.174,sim
2013,Region12,s2,car,0.1696457809629256,sim
2014,Region12,s2,car,0.1619355251542501,sim
2015,Region12,s2,car,0.1571107415094187,sim
2016,Region12,s2,car,0.1873266652366208,sim
2017,Region12,s2,car,0.2033560139092065,sim
2018,Region12,s2,car,0.21308177373457,sim
2019,Region12,s2,car,0.2253588169896825,sim
2020,Region12,s2,car,0.2501839947817428,sim
2021,Region12,s2,car,0.2517150518192176,sim
2022,Region12,s2,car,0.2378492560450463,sim
2023,Region12,s2,car,0.2126119857630489,sim
2024,Region12,s2,car,0.2198585795004265,sim
2025,Region12,s2,car,0.2143111837534519,sim
2026,Region12,s2,car,0.2073082049447518,sim
2027,Region12,s2,car,0.2056314322962279,sim
