Scenario,year,Geo,delta_display,annot,annot_mode,kpi
SC0,2024,Region 12,0.0,0.0,pct,Time loss (car)
SC0,2025,Region 12,0.0,0.0,pct,Time loss (car)
SC0,2026,Region 12,0.0,0.0,pct,Time loss (car)
SC0,2027,Region 12,0.0,0.0,pct,Time loss (car)
SC0,2028,Region 12,0.0,0.0,pct,Time loss (car)
SC0,2029,Region 12,0.0,0.0,pct,Time loss (car)
SC0,2030,Region 12,0.0,0.0,pct,Time loss (car)
SC1,2024,Region 12,0.0,0.0,pct,Time loss (car)
SC1,2025,Region 12,0.0,0.0,pct,Time loss (car)
SC1,2026,Region 12,-3.45287382327561,-3.45287382327561,pct,Time loss (car)
SC1,2027,Region 12,-3.749952722267574,-3.749952722267574,pct,Time loss (car)
SC1,2028,Region 12,-7.28375423753211,-7.28375423753211,pct,Time loss (car)
SC1,2029,Region 12,-6.537545314787501,-6.537545314787501,pct,Time loss (car)
SC1,2030,Region 12,-7.867434477830745,-7.867434477830745,pct,Time loss (car)
SC10,2024,Region 12,-5.707620653222997,-5.707620653222997,pct,Time loss (car)
SC10,2025,Region 12,-7.758190907843204,-7.758190907843204,pct,Time loss (car)
SC10,2026,Region 12,-14.798250172808583,-14.798250172808583,pct,Time loss (car)
SC10,2027,Region 12,-16.426281066329217,-16.426281066329217,pct,Time loss (car)
SC10,2028,Region 12,-16.58439036557088,-16.58439036557088,pct,Time loss (car)
SC10,2029,Region 12,-16.93961948006596,-16.93961948006596,pct,Time loss (car)
SC10,2030,Region 12,-17.26245149338324,-17.26245149338324,pct,Time loss (car)
SC11,2024,Region 12,-3.1152032891040284,-3.1152032891040284,pct,Time loss (car)
SC11,2025,Region 12,-3.2865581240283888,-3.2865581240283888,pct,Time loss (car)
SC11,2026,Region 12,-13.574850150699321,-13.574850150699321,pct,Time loss (car)
SC11,2027,Region 12,-17.1185320436574,-17.1185320436574,pct,Time loss (car)
SC11,2028,Region 12,-19.849863676834342,-19.849863676834342,pct,Time loss (car)
SC11,2029,Region 12,-21.84728397136096,-21.84728397136096,pct,Time loss (car)
SC11,2030,Region 12,-23.922199438828525,-23.922199438828525,pct,Time loss (car)
SC2,2024,Region 12,0.0,0.0,pct,Time loss (car)
SC2,2025,Region 12,0.0,0.0,pct,Time loss (car)
SC2,2026,Region 12,-1.450352480992354,-1.450352480992354,pct,Time loss (car)
SC2,2027,Region 12,-3.365377224461567,-3.365377224461567,pct,Time loss (car)
SC2,2028,Region 12,-4.51053079208696,-4.51053079208696,pct,Time loss (car)
SC2,2029,Region 12,-6.1823648709266,-6.1823648709266,pct,Time loss (car)
SC2,2030,Region 12,-7.214032630521537,-7.214032630521537,pct,Time loss (car)
SC3,2024,Region 12,0.0,0.0,pct,Time loss (car)
SC3,2025,Region 12,0.0,0.0,pct,Time loss (car)
SC3,2026,Region 12,-1.1815196111279516,-1.1815196111279516,pct,Time loss (car)
SC3,2027,Region 12,-1.818355592411537,-1.818355592411537,pct,Time loss (car)
SC3,2028,Region 12,-3.2496941329790285,-3.2496941329790285,pct,Time loss (car)
SC3,2029,Region 12,-4.000941379452198,-4.000941379452198,pct,Time loss (car)
SC3,2030,Region 12,-5.629444564437374,-5.629444564437374,pct,Time loss (car)
SC4,2024,Region 12,-2.812501385939438,-2.812501385939438,pct,Time loss (car)
SC4,2025,Region 12,-5.085433358733428,-5.085433358733428,pct,Time loss (car)
SC4,2026,Region 12,-5.356841320342202,-5.356841320342202,pct,Time loss (car)
SC4,2027,Region 12,-5.326603682053363,-5.326603682053363,pct,Time loss (car)
SC4,2028,Region 12,-4.9241722301827675,-4.9241722301827675,pct,Time loss (car)
SC4,2029,Region 12,-4.614453854864126,-4.614453854864126,pct,Time loss (car)
SC4,2030,Region 12,-4.594573476964862,-4.594573476964862,pct,Time loss (car)
