Scenario,year,Geo,delta_display,annot,annot_mode,kpi
SC0,2024,Region 12,0.0,0.0,pct,Congestion index
SC0,2025,Region 12,0.0,0.0,pct,Congestion index
SC0,2026,Region 12,0.0,0.0,pct,Congestion index
SC0,2027,Region 12,0.0,0.0,pct,Congestion index
SC0,2028,Region 12,0.0,0.0,pct,Congestion index
SC0,2029,Region 12,0.0,0.0,pct,Congestion index
SC0,2030,Region 12,0.0,0.0,pct,Congestion index
SC1,2024,Region 12,0.0,0.0,pct,Congestion index
SC1,2025,Region 12,0.0,0.0,pct,Congestion index
SC1,2026,Region 12,-1.8993643912297238,-1.8993643912297238,pct,Congestion index
SC1,2027,Region 12,-1.9842014743358944,-1.9842014743358944,pct,Congestion index
SC1,2028,Region 12,-4.070939895203261,-4.070939895203261,pct,Congestion index
SC1,2029,Region 12,-3.4951866249039907,-3.4951866249039907,pct,Congestion index
SC1,2030,Region 12,-4.189897502860344,-4.189897502860344,pct,Congestion index
SC10,2024,Region 12,-0.3676002338327802,-0.3676002338327802,pct,Congestion index
SC10,2025,Region 12,-1.7749381271348414,-1.7749381271348414,pct,Congestion index
SC10,2026,Region 12,-6.626826538338334,-6.626826538338334,pct,Congestion index
SC10,2027,Region 12,-7.6722693075468875,-7.6722693075468875,pct,Congestion index
SC10,2028,Region 12,-7.664541515151931,-7.664541515151931,pct,Congestion index
SC10,2029,Region 12,-7.746034646837109,-7.746034646837109,pct,Congestion index
SC10,2030,Region 12,-7.72565409694115,-7.72565409694115,pct,Congestion index
SC11,2024,Region 12,-0.18908986562562619,-0.18908986562562619,pct,Congestion index
SC11,2025,Region 12,-0.5539389493485846,-0.5539389493485846,pct,Congestion index
SC11,2026,Region 12,-6.29372467667938,-6.29372467667938,pct,Congestion index
SC11,2027,Region 12,-8.340003759862851,-8.340003759862851,pct,Congestion index
SC11,2028,Region 12,-8.952606333919759,-8.952606333919759,pct,Congestion index
SC11,2029,Region 12,-9.76083691274258,-9.76083691274258,pct,Congestion index
SC11,2030,Region 12,-10.277193693417672,-10.277193693417672,pct,Congestion index
SC2,2024,Region 12,0.0,0.0,pct,Congestion index
SC2,2025,Region 12,0.0,0.0,pct,Congestion index
SC2,2026,Region 12,0.18609174150566146,0.18609174150566146,pct,Congestion index
SC2,2027,Region 12,-0.747221525611213,-0.747221525611213,pct,Congestion index
SC2,2028,Region 12,-0.6650881852168153,-0.6650881852168153,pct,Congestion index
SC2,2029,Region 12,-1.1612714377929603,-1.1612714377929603,pct,Congestion index
SC2,2030,Region 12,-1.228428038296406,-1.228428038296406,pct,Congestion index
SC3,2024,Region 12,0.0,0.0,pct,Congestion index
SC3,2025,Region 12,0.0,0.0,pct,Congestion index
SC3,2026,Region 12,0.048746298915338326,0.048746298915338326,pct,Congestion index
SC3,2027,Region 12,-0.12975809560139348,-0.12975809560139348,pct,Congestion index
SC3,2028,Region 12,-0.07356060066553272,-0.07356060066553272,pct,Congestion index
SC3,2029,Region 12,-0.2752076734817899,-0.2752076734817899,pct,Congestion index
SC3,2030,Region 12,-0.21289991127490504,-0.21289991127490504,pct,Congestion index
SC4,2024,Region 12,-0.16683691694129615,-0.16683691694129615,pct,Congestion index
SC4,2025,Region 12,-1.2204474363342201,-1.2204474363342201,pct,Congestion index
SC4,2026,Region 12,-1.2747167726713788,-1.2747167726713788,pct,Congestion index
SC4,2027,Region 12,-1.2207918016605142,-1.2207918016605142,pct,Congestion index
SC4,2028,Region 12,-1.1738137591595164,-1.1738137591595164,pct,Congestion index
SC4,2029,Region 12,-1.0346723616101041,-1.0346723616101041,pct,Congestion index
SC4,2030,Region 12,-1.0393131795109452,-1.0393131795109452,pct,Congestion index
SC5,2024,Region 12,-0.18649300231051066,-0.18649300231051066,pct,Congestion index
SC5,2025,Region 12,-0.42446070447523937,-0.42446070447523937,pct,Congestion index
SC5,2026,Region 12,-5.072488827480646,-5.072488827480646,pct,Congestion index
SC5,2027,Region 12,-6.095896687107509,-6.095896687107509,pct,Congestion index
SC5,2028,Region 12,-6.1484762016718495,-6.1484762016718495,pct,Congestion index
SC5,2029,Region 12,-6.353446760543992,-6.353446760543992,pct,Congestion index
SC5,2030,Region 12,-6.3439105633906365,-6.3439105633906365,pct,Congestion index
SC6,2024,Region 12,-0.005391324034956407,-0.005391324034956407,pct,Congestion index
SC6,2025,Region 12,0.8371493339758467,0.8371493339758467,pct,Congestion index
SC6,2026,Region 12,-3.8061841359132336,-3.8061841359132336,pct,Congestion index
SC6,2027,Region 12,-4.715507444744975,-4.715507444744975,pct,Congestion index
SC6,2028,Region 12,-4.689826547864292,-4.689826547864292,pct,Congestion index
SC6,2029,Region 12,-4.779102567137356,-4.779102567137356,pct,Congestion index
SC6,2030,Region 12,-4.767807441127121,-4.767807441127121,pct,Congestion index
SC7,2024,Region 12,0.0003918316873178637,0.0003918316873178637,pct,Congestion index
SC7,2025,Region 12,0.0009670724112264017,0.0009670724112264017,pct,Congestion index
SC7,2026,Region 12,0.0019789940388304232,0.0019789940388304232,pct,Congestion index
SC7,2027,Region 12,0.0033208967611133094,0.0033208967611133094,pct,Congestion index
SC7,2028,Region 12,0.005576963665406889,0.005576963665406889,pct,Congestion index
SC7,2029,Region 12,0.008490043755490069,0.008490043755490069,pct,Congestion index
SC7,2030,Region 12,0.01209909620324551,0.01209909620324551,pct,Congestion index
SC8,2024,Region 12,-0.17227732888280878,-0.17227732888280878,pct,Congestion index
SC8,2025,Region 12,-0.4342726103506141,-0.4342726103506141,pct,Congestion index
SC8,2026,Region 12,-7.061012332411377,-7.061012332411377,pct,Congestion index
