scenario,kpi,auc,geo,kpi_display,delta_mode
SC0,Avoided external cost,0.0,Region12,Avoided ext. cost,raw_normalized
SC0,Budget use,0.0,Region12,Budget use,percent
SC0,CO₂ emissions,0.0,Region12,Emissions: CO₂,percent
SC0,Congestion index,0.0,Region12,Congestion index,percent
SC0,Electricity use,0.0,Region12,Electricity use,percent
SC0,Energy cost,0.0,Region12,Energy cost,percent
SC0,Farebox recovery,0.0,Region12,Farebox recovery,percent
SC0,Final energy,0.0,Region12,Final energy,percent
SC0,Health indicator,0.0,Region12,Health indicator,percent
SC0,Implementation CAPEX,0.0,Region12,CAPEX,raw_normalized
SC0,Modal share: public transport,0.0,Region12,Modal share: public transport,percent
SC0,NOₓ emissions,0.0,Region12,Emissions: NOₓ,percent
SC0,Net annual value,0.0,Region12,Net annual value,raw_normalized
SC0,Net fiscal pressure,0.0,Region12,Net fiscal pressure,raw_normalized
SC0,Net recurrent public burden,0.0,Region12,Net recurrent burden,percent
SC0,Noise exposure index,0.0,Region12,Noise exposure,percent
SC0,Non-public transport trips,0.0,Region12,Non-PT trips,percent
SC0,PCE-weighted VKT,0.0,Region12,PCE-weighted VKT,percent
SC0,PM₂.₅ emissions,0.0,Region12,Emissions: PM₂.₅,percent
SC0,PT OPEX,0.0,Region12,PT OPEX,percent
SC0,PT affordability ratio,0.0,Region12,PT affordability,percent
SC0,PT subsidy need,0.0,Region12,PT subsidy,percent
SC0,Public transport trips,0.0,Region12,PT trips,percent
SC0,Time loss (car),0.0,Region12,Time loss (car),percent
SC1,Avoided external cost,43.70959025163434,Region12,Avoided ext. cost,raw_normalized
SC1,Budget use,4.845773903259934,Region12,Budget use,percent
SC1,CO₂ emissions,-1.2039746067348567,Region12,Emissions: CO₂,percent
SC1,Congestion index,-13.544641137103042,Region12,Congestion index,percent
SC1,Electricity use,3.5996896030501633,Region12,Electricity use,percent
SC1,Energy cost,-0.02112265504122207,Region12,Energy cost,percent
SC1,Farebox recovery,-10.273852651490916,Region12,Farebox recovery,percent
SC1,Final energy,-1.6925453512690452,Region12,Final energy,percent
SC1,Health indicator,-5.448517390300285,Region12,Health indicator,percent
SC1,Implementation CAPEX,0.0,Region12,CAPEX,raw_normalized
SC1,Modal share: public transport,3.646479786207308,Region12,Modal share: public transport,percent
SC1,NOₓ emissions,-1.6129536820467112,Region12,Emissions: NOₓ,percent
SC1,Net annual value,46.17831782427038,Region12,Net annual value,raw_normalized
SC1,Net fiscal pressure,-3.754498830684777,Region12,Net fiscal pressure,raw_normalized
SC1,Net recurrent public burden,5.742333386775931,Region12,Net recurrent burden,percent
SC1,Noise exposure index,-5.789050096973044,Region12,Noise exposure,percent
SC1,Non-public transport trips,-20.030095707460713,Region12,Non-PT trips,percent
SC1,PCE-weighted VKT,-13.254949431110045,Region12,PCE-weighted VKT,percent
SC1,PM₂.₅ emissions,-0.8109712245995626,Region12,Emissions: PM₂.₅,percent
SC1,PT OPEX,3.945708398101486,Region12,PT OPEX,percent
SC1,PT affordability ratio,-8.921964360497059,Region12,PT affordability,percent
SC1,PT subsidy need,4.845773903259989,Region12,PT subsidy,percent
SC1,Public transport trips,3.6464797862072618,Region12,PT trips,percent
SC1,Time loss (car),-24.95784333677817,Region12,Time loss (car),percent
SC10,Avoided external cost,175.03970224305925,Region12,Avoided ext. cost,raw_normalized
SC10,Budget use,149.20826437573697,Region12,Budget use,percent
SC10,CO₂ emissions,-15.619531254322606,Region12,Emissions: CO₂,percent
SC10,Congestion index,-35.53123730039607,Region12,Congestion index,percent
SC10,Electricity use,97.26076928992163,Region12,Electricity use,percent
SC10,Energy cost,18.511960128352435,Region12,Energy cost,percent
SC10,Farebox recovery,-140.88690036700294,Region12,Farebox recovery,percent
SC10,Final energy,-28.98379290017889,Region12,Final energy,percent
SC10,Health indicator,-33.750756475562625,Region12,Health indicator,percent
SC10,Implementation CAPEX,260.9365313402466,Region12,CAPEX,raw_normalized
SC10,Modal share: public transport,80.66674902180894,Region12,Modal share: public transport,percent
SC10,NOₓ emissions,-67.68328976415171,Region12,Emissions: NOₓ,percent
SC10,Net annual value,167.91394815577593,Region12,Net annual value,raw_normalized
SC10,Net fiscal pressure,321.08551266709907,Region12,Net fiscal pressure,raw_normalized
