geo,scenario,equal_weight_score
Tehran,SC1,20.653022542777233
Tehran,SC10,43.82946222083672
Tehran,SC11,47.59613095834493
Tehran,SC2,3.7420375288831713
Tehran,SC3,0.7674352336640843
Tehran,SC4,8.735825123854116
Tehran,SC5,24.3043954768431
Tehran,SC6,29.463150414540177
Tehran,SC7,1.2222785632269373
Tehran,SC8,55.504905807755456
Tehran,SC9,37.39465146441927
Region12,SC1,12.09403885287146
Region12,SC10,45.093514544132304
Region12,SC11,38.44437389823089
Region12,SC2,7.43191186349836
Region12,SC3,5.1548511762341
Region12,SC4,22.120560020426637
Region12,SC5,11.506346407029273
Region12,SC6,23.716573463568388
Region12,SC7,-6.138217022662536
Region12,SC8,52.34762552446786
Region12,SC9,36.578505232847476
