geo,focus,alpha,winner
Tehran,Transportation,0.0,SC8
Tehran,Transportation,0.02,SC8
Tehran,Transportation,0.04,SC8
Tehran,Transportation,0.06,SC8
Tehran,Transportation,0.08,SC8
Tehran,Transportation,0.1,SC8
Tehran,Transportation,0.12,SC8
Tehran,Transportation,0.14,SC8
Tehran,Transportation,0.16,SC8
Tehran,Transportation,0.18,SC8
Tehran,Transportation,0.2,SC8
Tehran,Transportation,0.22,SC8
Tehran,Transportation,0.24,SC8
Tehran,Transportation,0.26,SC8
Tehran,Transportation,0.28,SC8
Tehran,Transportation,0.3,SC8
Tehran,Transportation,0.32,SC8
Tehran,Transportation,0.34,SC8
Tehran,Transportation,0.36,SC8
Tehran,Transportation,0.38,SC8
Tehran,Transportation,0.4,SC8
Tehran,Transportation,0.42,SC8
Tehran,Transportation,0.44,SC8
Tehran,Transportation,0.46,SC8
Tehran,Transportation,0.48,SC8
Tehran,Transportation,0.5,SC8
Tehran,Transportation,0.52,SC8
Tehran,Transportation,0.54,SC8
Tehran,Transportation,0.56,SC8
Tehran,Transportation,0.58,SC8
Tehran,Transportation,0.6,SC8
Tehran,Transportation,0.62,SC8
Tehran,Transportation,0.64,SC8
Tehran,Transportation,0.66,SC8
Tehran,Transportation,0.68,SC8
Tehran,Transportation,0.7000000000000001,SC8
Tehran,Transportation,0.72,SC8
Tehran,Transportation,0.74,SC8
Tehran,Transportation,0.76,SC8
Tehran,Transportation,0.78,SC8
Tehran,Transportation,0.8,SC8
Tehran,Transportation,0.8200000000000001,SC11
Tehran,Transportation,0.84,SC11
Tehran,Transportation,0.86,SC11
Tehran,Transportation,0.88,SC11
Tehran,Transportation,0.9,SC11
Tehran,Transportation,0.92,SC11
Tehran,Transportation,0.9400000000000001,SC11
Tehran,Transportation,0.96,SC11
Tehran,Transportation,0.98,SC11
Tehran,Transportation,1.0,SC11
Tehran,Social,0.0,SC8
Tehran,Social,0.02,SC8
Tehran,Social,0.04,SC8
Tehran,Social,0.06,SC8
Tehran,Social,0.08,SC8
Tehran,Social,0.1,SC8
Tehran,Social,0.12,SC8
Tehran,Social,0.14,SC8
Tehran,Social,0.16,SC8
Tehran,Social,0.18,SC8
Tehran,Social,0.2,SC8
Tehran,Social,0.22,SC8
Tehran,Social,0.24,SC8
Tehran,Social,0.26,SC8
Tehran,Social,0.28,SC8
Tehran,Social,0.3,SC8
Tehran,Social,0.32,SC8
Tehran,Social,0.34,SC8
Tehran,Social,0.36,SC8
Tehran,Social,0.38,SC8
Tehran,Social,0.4,SC8
Tehran,Social,0.42,SC8
Tehran,Social,0.44,SC8
Tehran,Social,0.46,SC8
Tehran,Social,0.48,SC8
Tehran,Social,0.5,SC8
Tehran,Social,0.52,SC8
Tehran,Social,0.54,SC8
Tehran,Social,0.56,SC8
Tehran,Social,0.58,SC8
Tehran,Social,0.6,SC8
Tehran,Social,0.62,SC8
Tehran,Social,0.64,SC8
Tehran,Social,0.66,SC8
Tehran,Social,0.68,SC8
Tehran,Social,0.7000000000000001,SC8
Tehran,Social,0.72,SC8
Tehran,Social,0.74,SC8
Tehran,Social,0.76,SC8
Tehran,Social,0.78,SC8
Tehran,Social,0.8,SC8
Tehran,Social,0.8200000000000001,SC8
Tehran,Social,0.84,SC8
Tehran,Social,0.86,SC8
Tehran,Social,0.88,SC8
Tehran,Social,0.9,SC8
Tehran,Social,0.92,SC8
Tehran,Social,0.9400000000000001,SC8
Tehran,Social,0.96,SC8
Tehran,Social,0.98,SC8
Tehran,Social,1.0,SC8
Tehran,Environmental,0.0,SC8
Tehran,Environmental,0.02,SC8
Tehran,Environmental,0.04,SC8
Tehran,Environmental,0.06,SC8
Tehran,Environmental,0.08,SC8
Tehran,Environmental,0.1,SC8
Tehran,Environmental,0.12,SC8
Tehran,Environmental,0.14,SC8
Tehran,Environmental,0.16,SC8
Tehran,Environmental,0.18,SC8
Tehran,Environmental,0.2,SC8
Tehran,Environmental,0.22,SC8
Tehran,Environmental,0.24,SC8
Tehran,Environmental,0.26,SC8
Tehran,Environmental,0.28,SC8
Tehran,Environmental,0.3,SC8
Tehran,Environmental,0.32,SC8
Tehran,Environmental,0.34,SC8
Tehran,Environmental,0.36,SC8
Tehran,Environmental,0.38,SC8
Tehran,Environmental,0.4,SC8
Tehran,Environmental,0.42,SC8
Tehran,Environmental,0.44,SC8
Tehran,Environmental,0.46,SC8
Tehran,Environmental,0.48,SC8
Tehran,Environmental,0.5,SC8
Tehran,Environmental,0.52,SC8
Tehran,Environmental,0.54,SC8
Tehran,Environmental,0.56,SC8
Tehran,Environmental,0.58,SC8
Tehran,Environmental,0.6,SC8
Tehran,Environmental,0.62,SC8
Tehran,Environmental,0.64,SC8
Tehran,Environmental,0.66,SC8
Tehran,Environmental,0.68,SC8
Tehran,Environmental,0.7000000000000001,SC8
Tehran,Environmental,0.72,SC8
Tehran,Environmental,0.74,SC8
Tehran,Environmental,0.76,SC8
Tehran,Environmental,0.78,SC8
Tehran,Environmental,0.8,SC8
Tehran,Environmental,0.8200000000000001,SC8
Tehran,Environmental,0.84,SC8
Tehran,Environmental,0.86,SC8
Tehran,Environmental,0.88,SC8
Tehran,Environmental,0.9,SC8
Tehran,Environmental,0.92,SC8
Tehran,Environmental,0.9400000000000001,SC8
Tehran,Environmental,0.96,SC8
Tehran,Environmental,0.98,SC8
Tehran,Environmental,1.0,SC8
Tehran,Economic,0.0,SC8
Tehran,Economic,0.02,SC8
Tehran,Economic,0.04,SC8
Tehran,Economic,0.06,SC8
Tehran,Economic,0.08,SC8
Tehran,Economic,0.1,SC8
Tehran,Economic,0.12,SC8
Tehran,Economic,0.14,SC8
Tehran,Economic,0.16,SC8
Tehran,Economic,0.18,SC8
Tehran,Economic,0.2,SC8
Tehran,Economic,0.22,SC8
Tehran,Economic,0.24,SC8
Tehran,Economic,0.26,SC8
Tehran,Economic,0.28,SC8
Tehran,Economic,0.3,SC8
Tehran,Economic,0.32,SC8
Tehran,Economic,0.34,SC8
Tehran,Economic,0.36,SC8
Tehran,Economic,0.38,SC8
Tehran,Economic,0.4,SC8
Tehran,Economic,0.42,SC8
Tehran,Economic,0.44,SC8
Tehran,Economic,0.46,SC8
Tehran,Economic,0.48,SC8
Tehran,Economic,0.5,SC8
Tehran,Economic,0.52,SC8
Tehran,Economic,0.54,SC8
Tehran,Economic,0.56,SC8
Tehran,Economic,0.58,SC8
Tehran,Economic,0.6,SC8
Tehran,Economic,0.62,SC8
Tehran,Economic,0.64,SC1
Tehran,Economic,0.66,SC1
Tehran,Economic,0.68,SC1
Tehran,Economic,0.7000000000000001,SC1
Tehran,Economic,0.72,SC1
Tehran,Economic,0.74,SC1
Tehran,Economic,0.76,SC1
Tehran,Economic,0.78,SC1
Tehran,Economic,0.8,SC1
Tehran,Economic,0.8200000000000001,SC1
Tehran,Economic,0.84,SC1
Tehran,Economic,0.86,SC1
Tehran,Economic,0.88,SC1
Tehran,Economic,0.9,SC1
Tehran,Economic,0.92,SC1
Tehran,Economic,0.9400000000000001,SC1
Tehran,Economic,0.96,SC1
Tehran,Economic,0.98,SC1
Tehran,Economic,1.0,SC1
Region12,Transportation,0.0,SC8
Region12,Transportation,0.02,SC8
Region12,Transportation,0.04,SC8
Region12,Transportation,0.06,SC8
Region12,Transportation,0.08,SC8
Region12,Transportation,0.1,SC8
Region12,Transportation,0.12,SC8
Region12,Transportation,0.14,SC8
Region12,Transportation,0.16,SC8
Region12,Transportation,0.18,SC8
Region12,Transportation,0.2,SC8
Region12,Transportation,0.22,SC8
Region12,Transportation,0.24,SC8
Region12,Transportation,0.26,SC8
Region12,Transportation,0.28,SC8
Region12,Transportation,0.3,SC8
Region12,Transportation,0.32,SC8
