geo,scenario,win_probability,top2_probability,top3_probability,mean_rank,median_rank
Tehran,SC1,0.056395,0.123205,0.159735,5.76176,7.0
Tehran,SC10,0.0,0.183315,0.767955,3.647285,3.0
Tehran,SC11,0.00969,0.69348,0.948725,2.47397,2.0
Tehran,SC2,0.0,0.012325,0.037955,8.83455,9.0
Tehran,SC3,0.0,0.001315,0.01271,10.16692,11.0
Tehran,SC4,0.0,0.0,0.00554,7.78843,8.0
Tehran,SC5,0.0,0.0,0.0,6.501605,6.0
Tehran,SC6,0.0,0.0,0.026685,5.31648,5.0
Tehran,SC7,0.0,0.0,0.0,9.95714,10.0
Tehran,SC8,0.933915,0.98636,0.98729,1.0992,1.0
Tehran,SC9,0.0,0.0,0.053405,4.45266,4.0
Region12,SC1,0.03842,0.075055,0.123285,6.84261,7.0
Region12,SC10,0.29535,0.69919,0.73731,3.287035,2.0
Region12,SC11,0.0,0.03204,0.61834,3.997495,3.0
Region12,SC2,0.010165,0.054305,0.08256,7.986415,9.0
Region12,SC3,2e-05,0.00578,0.042435,9.2552,10.0
Region12,SC4,0.0,0.01179,0.04162,5.62705,6.0
Region12,SC5,0.0,0.0,0.0,7.656995,7.0
Region12,SC6,0.05649,0.124135,0.153495,5.15813,5.0
Region12,SC7,0.0,0.0,0.0,10.48351,11.0
Region12,SC8,0.599555,0.917065,0.938235,1.62918,1.0
Region12,SC9,0.0,0.08064,0.26272,4.07638,4.0
