scenario,geo,raw_oriented_mean_delta,score,metric
SC0,Region12,0.0,0.0,Implementation CAPEX
SC0,Tehran,0.0,0.0,Implementation CAPEX
SC1,Region12,0.0,0.0,Implementation CAPEX
SC1,Tehran,0.0,0.0,Implementation CAPEX
SC10,Region12,-1584211038508.4983,-95.24528586388398,Implementation CAPEX
SC10,Tehran,-25582154019645.965,-100.0,Implementation CAPEX
SC11,Region12,-1663296008972.5708,-100.00000000000001,Implementation CAPEX
SC11,Tehran,-25545875151917.543,-99.85818681374305,Implementation CAPEX
SC2,Region12,-108094878201.80797,-6.4988359028516465,Implementation CAPEX
SC2,Tehran,-236733464146.3013,-0.925385188301581,Implementation CAPEX
SC3,Region12,-17990977317.378597,-1.0816461544022908,Implementation CAPEX
SC3,Tehran,-43485420959.334885,-0.16998342252939294,Implementation CAPEX
SC4,Region12,0.0,0.0,Implementation CAPEX
SC4,Tehran,0.0,0.0,Implementation CAPEX
SC5,Region12,-1390597845435.5593,-83.60495293285415,Implementation CAPEX
SC5,Tehran,-21235441742337.168,-83.00881046228275,Implementation CAPEX
SC6,Region12,-71239285279.22942,-4.283019071466082,Implementation CAPEX
SC6,Tehran,-1026877583796.3986,-4.014038782691254,Implementation CAPEX
SC7,Region12,-323660813604.85266,-19.459002598387773,Implementation CAPEX
SC7,Tehran,-4441745182791.2295,-17.3626707875348,Implementation CAPEX
SC8,Region12,-54596129615.93888,-3.2824060973766946,Implementation CAPEX
SC8,Tehran,-684864597851.3954,-2.6771185777610813,Implementation CAPEX
SC9,Region12,-1222253910099.3315,-73.4838479444393,Implementation CAPEX
SC9,Tehran,-17456174878101.42,-68.23575084684366,Implementation CAPEX
SC0,Region12,0.0,0.0,PT subsidy need
SC0,Tehran,0.0,0.0,PT subsidy need
SC1,Region12,-304365304467.4456,-4.469073336818852,PT subsidy need
SC1,Tehran,254049748783.30356,0.07740703908339829,PT subsidy need
SC10,Region12,-6810479075380.245,-100.0,PT subsidy need
SC10,Tehran,-328199801712594.3,-100.0,PT subsidy need
SC11,Region12,-4851866639090.997,-71.24119442096818,PT subsidy need
SC11,Tehran,-292866843391462.3,-89.23431454353127,PT subsidy need
SC2,Region12,-552857094566.7118,-8.117741622102326,PT subsidy need
SC2,Tehran,-17399567470552.438,-5.301516752831343,PT subsidy need
SC3,Region12,-294586310657.5868,-4.3254858784092125,PT subsidy need
SC3,Tehran,-3045158284727.9644,-0.9278367228858413,PT subsidy need
SC4,Region12,-3465835541601.0894,-50.88974656907794,PT subsidy need
SC4,Tehran,-51914357752838.25,-15.817912589203765,PT subsidy need
SC5,Region12,-1352878889409.214,-19.86466553138451,PT subsidy need
SC5,Tehran,-214289999722633.9,-65.29254393343248,PT subsidy need
SC6,Region12,-699553684971.7706,-10.271725046489669,PT subsidy need
SC6,Tehran,-201614762529770.3,-61.43049492343236,PT subsidy need
SC7,Region12,-3671508858884.899,-53.90970030518609,PT subsidy need
SC7,Tehran,-50446735931896.945,-15.370739308390359,PT subsidy need
SC8,Region12,-4715062179979.464,-69.23245968149767,PT subsidy need
SC8,Tehran,-269979030729487.06,-82.26057094510637,PT subsidy need
SC9,Region12,-3883159053945.626,-57.01741406097515,PT subsidy need
SC9,Tehran,-275335544280366.84,-83.89266015507198,PT subsidy need
SC0,Region12,0.0,0.0,Farebox recovery
SC0,Tehran,0.0,0.0,Farebox recovery
SC1,Region12,-0.003709036030238418,-7.084640232503695,Farebox recovery
SC1,Tehran,-0.0002829957730195077,-0.8325874068616381,Farebox recovery
SC10,Region12,-0.05235320225890502,-100.0,Farebox recovery
SC10,Tehran,-0.03391668122261688,-99.78453517941709,Farebox recovery
SC11,Region12,-0.020813793535885285,-39.75648601771052,Farebox recovery
SC11,Tehran,-0.016064012962428677,-47.26111190098334,Farebox recovery
SC2,Region12,5.9347996924962496e-05,0.11336077711438884,Farebox recovery
SC2,Tehran,2.5399407678410235e-05,0.07472629979293514,Farebox recovery
SC3,Region12,9.241925471865324e-05,0.17653028034771873,Farebox recovery
SC3,Tehran,1.8846072795435297e-05,0.055446068013162556,Farebox recovery
SC4,Region12,-0.04704100311263426,-89.85315335631226,Farebox recovery
SC4,Tehran,-0.02691604274376933,-79.18831434088995,Farebox recovery
SC5,Region12,0.0013522462875605204,2.5829294660395106,Farebox recovery
SC5,Tehran,-0.003977705846078846,-11.702605167239984,Farebox recovery
SC6,Region12,-0.00036533759953148926,-0.6978323842059674,Farebox recovery
SC6,Tehran,-0.008213757675064088,-24.16527685309306,Farebox recovery
SC7,Region12,-0.018279523777641932,-34.91577017054898,Farebox recovery
SC7,Tehran,-0.009850795093264047,-28.981521012544235,Farebox recovery
SC8,Region12,-0.05070915406780764,-96.85969889106882,Farebox recovery
SC8,Tehran,-0.033989917537455235,-100.0,Farebox recovery
SC9,Region12,-0.02626374705787689,-50.166457684848794,Farebox recovery
SC9,Tehran,-0.01926870009743196,-56.68945820830189,Farebox recovery
SC0,Region12,0.0,0.0,Net fiscal pressure
SC0,Tehran,0.0,0.0,Net fiscal pressure
SC1,Region12,0.005176552565323586,1.1338799477096304,Net fiscal pressure
SC1,Tehran,-0.0007022078514173928,-0.342002206981888,Net fiscal pressure
SC10,Region12,-0.456534448446673,-100.0,Net fiscal pressure
SC10,Tehran,-0.20532260818263692,-100.00000000000001,Net fiscal pressure
SC11,Region12,-0.3118050698290911,-68.29825676681932,Net fiscal pressure
SC11,Tehran,-0.18151338503053818,-88.403993421455,Net fiscal pressure
SC2,Region12,0.021759818418654518,4.766303724218577,Net fiscal pressure
SC2,Tehran,-0.008292559220362875,-4.038794993772212,Net fiscal pressure
SC3,Region12,0.004932080118393323,1.080330331078933,Net fiscal pressure
SC3,Tehran,-0.001502620875984205,-0.7318341069618625,Net fiscal pressure
SC4,Region12,-0.17676449196557484,-38.71876318797056,Net fiscal pressure
SC4,Tehran,-0.03176770254978061,-15.47209186117627,Net fiscal pressure
SC5,Region12,-0.14021127610994424,-30.712091187642784,Net fiscal pressure
SC5,Tehran,-0.13691108090682752,-66.68095740584177,Net fiscal pressure
SC6,Region12,-0.02509760401708835,-5.497417358642095,Net fiscal pressure
SC6,Tehran,-0.11741576983523658,-57.18599177874939,Net fiscal pressure
SC7,Region12,-0.19297188281248195,-42.268854731347325,Net fiscal pressure
SC7,Tehran,-0.02957841812789819,-14.405826221332545,Net fiscal pressure
SC8,Region12,-0.25123022476965595,-55.02985056756384,Net fiscal pressure
SC8,Tehran,-0.15879986510288804,-77.34163641718094,Net fiscal pressure
SC9,Region12,-0.22512559262033222,-49.31185223509563,Net fiscal pressure
SC9,Tehran,-0.16844557612528993,-82.03946833534064,Net fiscal pressure
SC0,Region12,0.0,0.0,Budget use
SC0,Tehran,0.0,0.0,Budget use
SC1,Region12,-0.015477727572114044,-4.031415978506733,Budget use
SC1,Tehran,-0.0007022078514173953,-0.3699335583297827,Budget use
SC10,Region12,-0.3839278222498664,-100.0,Budget use
SC10,Tehran,-0.1898199921596196,-100.0,Budget use
SC11,Region12,-0.22106928670600595,-57.58094982815039,Budget use
SC11,Tehran,-0.16641775715573168,-87.67135392977522,Budget use
SC2,Region12,0.03139483968286082,8.177276525280982,Budget use
SC2,Tehran,-0.008749512517619792,-4.609373553372781,Budget use
SC3,Region12,-0.014776508407068123,-3.8487724907447145,Budget use
SC3,Tehran,-0.0014802800231420085,-0.7798335709008151,Budget use
SC4,Region12,-0.19741877210301245,-51.42080377142585,Budget use
SC4,Tehran,-0.031767702549780626,-16.735699010601145,Budget use
SC5,Region12,-0.07785967185623491,-20.279768056393316,Budget use
SC5,Tehran,-0.12374566418537739,-65.1910595809738,Budget use
SC6,Region12,-0.04197047221679535,-10.931865258121432,Budget use
SC6,Tehran,-0.11687427990796748,-61.57111196679848,Budget use
SC7,Region12,-0.19618078681125456,-51.09835115923872,Budget use
SC7,Tehran,-0.027154376322944724,-14.305330020301874,Budget use
SC8,Region12,-0.2689970789412282,-70.06449216544681,Budget use
SC8,Tehran,-0.15843896030902624,-83.46800487474204,Budget use
SC9,Region12,-0.15054077984676834,-39.21069824129442,Budget use
SC9,Tehran,-0.15800662676755614,-83.24024512375304,Budget use
SC0,Region12,0.0,0.0,PT budget pressure
SC0,Tehran,0.0,0.0,PT budget pressure
SC1,Region12,-0.008689127462335427,-2.6753900342522887,PT budget pressure
SC1,Tehran,-0.000745025179231957,-0.3784162353591891,PT budget pressure
SC10,Region12,-0.3247798396155663,-99.99999999999999,PT budget pressure
SC10,Tehran,-0.19687981371221724,-100.0,PT budget pressure
SC11,Region12,-0.21568256991566281,-66.40885412436955,PT budget pressure
SC11,Tehran,-0.18122657657581948,-92.04934378936461,PT budget pressure
SC2,Region12,0.04037347489785671,12.431028645634463,PT budget pressure
SC2,Tehran,-0.010002847061038354,-5.080686979752883,PT budget pressure
SC3,Region12,-0.01914739630385306,-5.895500264584573,PT budget pressure
SC3,Tehran,-0.001693096734087082,-0.8599646160585624,PT budget pressure
SC4,Region12,-0.12108486434523533,-37.282136874185426,PT budget pressure
SC4,Tehran,-0.025885355454109943,-13.14779558454227,PT budget pressure
SC5,Region12,-0.09916537550562467,-30.533106864947104,PT budget pressure
SC5,Tehran,-0.13986033015577368,-71.03843076579199,PT budget pressure
SC6,Region12,-0.06995376149793191,-21.53882506399856,PT budget pressure
SC6,Tehran,-0.13002545271510774,-66.04305960242743,PT budget pressure
SC7,Region12,-0.19615247596514224,-60.395520915744946,PT budget pressure
SC7,Tehran,-0.02715638488979416,-13.793382052610603,PT budget pressure
SC8,Region12,-0.21401903292800245,-65.89664961388348,PT budget pressure
SC8,Tehran,-0.1626273513483228,-82.60234926168617,PT budget pressure
SC9,Region12,-0.12107209000151273,-37.278203642449824,PT budget pressure
SC9,Tehran,-0.16992763575100897,-86.31033956553578,PT budget pressure
SC0,Region12,0.0,0.0,Avoided external cost
SC0,Tehran,0.0,0.0,Avoided external cost
SC1,Region12,26133912159333.707,26.203769032636984,Avoided external cost
SC1,Tehran,783030598149376.6,33.033893859480926,Avoided external cost
SC10,Region12,96105159230374.0,96.36205172665301,Avoided external cost
SC10,Tehran,2046260334361008.2,86.32606037861677,Avoided external cost
SC11,Region12,99733409063344.02,100.0,Avoided external cost
SC11,Tehran,2356132676291287.5,99.39871689741206,Avoided external cost
SC2,Region12,22589980540395.707,22.65036435889608,Avoided external cost
SC2,Tehran,252455650190724.84,10.650405197876735,Avoided external cost
SC3,Region12,15483540251930.098,15.524928303710128,Avoided external cost
SC3,Tehran,51177099087219.71,2.159020175302073,Avoided external cost
SC4,Region12,33890899456910.125,33.98149103214238,Avoided external cost
SC4,Tehran,273216272230799.16,11.526238385685044,Avoided external cost
SC5,Region12,57178808771566.99,57.331649753645564,Avoided external cost
SC5,Tehran,1566838406172817.8,66.10057605258133,Avoided external cost
SC6,Region12,37736036899940.8,37.836906663817516,Avoided external cost
SC6,Tehran,1455583722208144.8,61.40704883902792,Avoided external cost
SC7,Region12,849142986019.4286,0.8514127753119414,Avoided external cost
SC7,Tehran,51442100796771.14,2.1701998640225293,Avoided external cost
SC8,Region12,97029630491322.5,97.28899413204229,Avoided external cost
SC8,Tehran,2370385403186861.0,100.0,Avoided external cost
SC9,Region12,97664352944132.0,97.92541322046067,Avoided external cost
SC9,Tehran,2016715025596917.5,85.07962556998318,Avoided external cost
SC0,Region12,0.0,0.0,Net annual value
SC0,Tehran,0.0,0.0,Net annual value
SC1,Region12,26230868136425.008,27.963934886675567,Net annual value
SC1,Tehran,809834787344298.1,37.294189544084205,Net annual value
SC10,Region12,87673868744921.25,93.46645883372047,Net annual value
SC10,Tehran,1725064801975200.0,79.44199817800549,Net annual value
SC11,Region12,93802493256854.42,100.0,Net annual value
SC11,Tehran,2091219377756400.5,96.30400307705199,Net annual value
SC2,Region12,22988586376227.973,24.50743639966961,Net annual value
SC2,Tehran,242778422566611.72,11.180335359641225,Net annual value
SC3,Region12,15621375793012.512,16.653476097098316,Net annual value
SC3,Tehran,49501712551680.75,2.2796331789020576,Net annual value
SC4,Region12,30752361869884.25,32.78416255490851,Net annual value
SC4,Tehran,223091606814532.72,10.273725950350249,Net annual value
SC5,Region12,54669856878355.04,58.281880342621015,Net annual value
SC5,Tehran,1368368445508457.2,63.01555943316143,Net annual value
SC6,Region12,37473330835073.45,39.94918422100169,Net annual value
SC6,Tehran,1296789672989041.8,59.71924226898279,Net annual value
SC7,Region12,-3317261128335.327,-3.5364317228240894,Net annual value
SC7,Tehran,-24262883290246.938,-1.1173446515922056,Net annual value
SC8,Region12,92733747694445.36,98.86064269157264,Net annual value
SC8,Tehran,2171477104729732.0,99.99999999999999,Net annual value
SC9,Region12,93444425097167.17,99.61827436856422,Net annual value
SC9,Tehran,1770593800212776.8,81.53868149731883,Net annual value
