panel_metric,scenario,geo,p05,p25,median,p75,p95,frozen_central_2030
Modal share: public transport,SC1,Tehran,2.6810377163617924,2.7594516662221955,2.8075450795223715,3.056422776348205,6.464884192720998,2.761613679767936
Modal share: public transport,SC1,Region 12,0.9268382561403326,1.0348566515288418,1.068669641034345,1.137916168879328,1.3243084974024741,1.1042415408428472
Modal share: public transport,SC2,Tehran,5.06310361987821,5.39137419163855,5.485989225940188,5.596670536948796,6.649898249496372,5.455046846864947
Modal share: public transport,SC2,Region 12,2.4523222918733527,2.5266284919437316,2.6472650885376505,2.78846194316223,3.75918355255796,2.7575276363543093
Modal share: public transport,SC3,Tehran,1.1125817689151016,1.1822760998618538,1.2140915254147564,1.2394195271866622,1.2916596306688681,1.2137063903167336
Modal share: public transport,SC3,Region 12,1.4498490337420789,1.547104546108375,1.6249167906261435,1.7836966609280664,2.4787368286681515,1.721778540821434
Modal share: public transport,SC4,Tehran,7.56503621143092,7.84921424608806,7.962797845892141,8.119978591525568,9.124472555810751,7.961440537765414
Modal share: public transport,SC4,Region 12,5.423057728263149,5.583262145606909,5.79528448703085,6.1699658796257975,6.970542929793209,5.781757986557811
Modal share: public transport,SC5,Tehran,31.6399190724737,35.16223885121965,38.121192980145494,41.618871675513276,45.60900453559224,39.79104213234001
Modal share: public transport,SC5,Region 12,5.953055359356724,6.240228625312832,6.409638413780673,6.933471252352802,7.763038086708317,6.52730746915192
Modal share: public transport,SC6,Tehran,17.070272070315244,21.67877515978904,25.248250385144143,30.653132467057326,36.87995117344596,27.39792583797776
Modal share: public transport,SC6,Region 12,1.4393579358578492,1.731029069686326,1.8500445060625919,2.0906371264918007,2.5951971717759603,1.7899064326070946
Modal share: public transport,SC7,Tehran,0.0,0.0,0.0,0.0,0.0,0.0
Modal share: public transport,SC7,Region 12,0.0,0.0,0.0,0.0,0.0,0.0
Modal share: public transport,SC8,Tehran,29.39621514180091,35.086977289924626,38.81333734576397,44.78835453420294,51.26885452725594,41.17490048767055
Modal share: public transport,SC8,Region 12,8.706464633180735,9.002180054857272,9.390037575783253,10.086760709661862,11.74148476556774,9.337122421237945
Modal share: public transport,SC9,Tehran,42.08181357632196,46.159414008377,49.96426545083745,53.25333915223366,57.73070253758189,51.49395602496786
Modal share: public transport,SC9,Region 12,10.978300690305934,11.575473286030128,12.049813359434161,12.462599471847321,14.315186132785682,12.108272781168832
Modal share: public transport,SC10,Tehran,41.61626868686521,45.542578159632484,48.99580549903399,52.68544602448691,57.31721530246999,50.760285212576726
Modal share: public transport,SC10,Region 12,11.88821601303342,12.450807677646347,12.83991635463547,13.465571919840187,15.024627535544,13.152709337306456
Modal share: public transport,SC11,Tehran,40.59099017944096,44.76961754351369,48.68550812049893,52.80994668225675,57.86657795867693,50.510136995944606
Modal share: public transport,SC11,Region 12,10.175917928980192,10.64755869005823,11.161132928489103,11.582945022677276,13.46802798229191,11.10248302779211
Time loss (car),SC1,Tehran,-12.198355541348201,-10.443737646482674,-9.703664984185457,-9.613164337150042,-9.548175546885865,-9.652354138685729
Time loss (car),SC1,Region 12,-9.277616363195245,-8.371572793812035,-7.976745855363392,-7.857394716298009,-7.662363002436004,-7.867434477830746
Time loss (car),SC2,Tehran,-4.607349680716217,-4.0490390864478645,-3.9033777539237473,-3.67268207171924,-3.489947725036996,-3.8666393756053306
Time loss (car),SC2,Region 12,-7.779181519998538,-7.572377089131534,-7.380427848395167,-7.089061738099455,-6.8500189126571565,-7.214032630521538
Time loss (car),SC3,Tehran,-0.8405799537703048,-0.7698204555015391,-0.7383687446239393,-0.6972064211713522,-0.6565978665724088,-0.733099635217264
Time loss (car),SC3,Region 12,-5.935772020880149,-5.776516912853188,-5.732291587069127,-5.5335385760445455,-5.22760843830445,-5.629444564437374
Time loss (car),SC4,Tehran,-3.466426816851829,-2.84535407135558,-2.5195496976117577,-2.204381769424173,-1.9781742635611064,-2.4166570416280457
Time loss (car),SC4,Region 12,-5.450396470062615,-5.043648008982272,-4.737376442304162,-4.497465497055145,-4.12735101408839,-4.594573476964862
