scenario,geo,pillar,score
SC0,Region12,Economic,0.0
SC0,Region12,Environmental,0.0
SC0,Region12,Social,0.0
SC0,Region12,Transportation,0.0
SC0,Tehran,Economic,0.0
SC0,Tehran,Environmental,0.0
SC0,Tehran,Social,0.0
SC0,Tehran,Transportation,0.0
SC1,Region12,Economic,-1.695664429216362
SC1,Region12,Environmental,3.971960366361482
SC1,Region12,Social,21.974560580618412
SC1,Region12,Transportation,24.125298893722313
SC1,Tehran,Economic,11.325548645002437
SC1,Tehran,Environmental,27.72161568234115
SC1,Tehran,Social,19.536502245688457
SC1,Tehran,Transportation,24.028423598076888
SC10,Region12,Economic,-100.0
SC10,Region12,Environmental,97.66308518971933
SC10,Region12,Social,88.91756347843273
SC10,Region12,Transportation,93.79340950837718
SC10,Tehran,Economic,-52.40848974266805
SC10,Tehran,Environmental,89.39096460299807
SC10,Tehran,Social,46.10219406971495
SC10,Tehran,Transportation,92.23317995330187
SC11,Region12,Economic,-66.070099130002
SC11,Region12,Environmental,82.98496817826428
SC11,Region12,Social,54.63728787336464
SC11,Region12,Transportation,82.22533867129665
SC11,Tehran,Economic,-36.465850755865674
SC11,Tehran,Environmental,95.7003947154709
SC11,Tehran,Social,35.831904133827095
SC11,Tehran,Transportation,95.3180757399474
SC2,Region12,Economic,0.23924252451184383
SC2,Region12,Environmental,10.515159237443342
SC2,Region12,Social,4.02252477489608
SC2,Region12,Transportation,14.950720917142176
SC2,Tehran,Economic,-0.3519647612576134
SC2,Tehran,Environmental,5.258574277049421
SC2,Tehran,Social,1.9117390555256122
SC2,Tehran,Transportation,8.149801544215267
SC3,Region12,Economic,0.3037190650901434
SC3,Region12,Environmental,8.118633347215852
SC3,Region12,Social,2.4474349723163695
SC3,Region12,Transportation,9.749617320314035
SC3,Tehran,Economic,0.07361937235931115
SC3,Tehran,Environmental,1.074677075348222
SC3,Tehran,Social,0.4231409525721804
SC3,Tehran,Transportation,1.4983035343766236
SC4,Region12,Economic,-35.17730060044109
SC4,Region12,Environmental,24.245675104620272
SC4,Region12,Social,56.60962964677211
SC4,Region12,Transportation,42.80423593075526
SC4,Tehran,Economic,-9.617995311041245
SC4,Tehran,Environmental,8.288965344090673
SC4,Tehran,Social,19.540379808444843
SC4,Tehran,Transportation,16.731950653922187
SC5,Region12,Economic,-34.985603433289036
SC5,Region12,Environmental,21.38366102417612
SC5,Region12,Social,12.489468367335851
SC5,Region12,Transportation,47.13785966989416
SC5,Tehran,Economic,-28.5480021517857
SC5,Tehran,Environmental,49.568625016425635
SC5,Tehran,Social,4.711694254518979
SC5,Tehran,Transportation,71.48526478821348
SC6,Region12,Economic,-12.396941135179347
SC6,Region12,Environmental,67.11522880578586
SC6,Region12,Social,20.338450712061285
SC6,Region12,Transportation,19.80955547160575
SC6,Tehran,Economic,-22.704920478383638
SC6,Tehran,Environmental,75.82728601561618
SC6,Tehran,Social,12.815390216267131
SC6,Tehran,Transportation,51.914845904661036
SC7,Region12,Economic,-61.78547319386937
SC7,Region12,Environmental,25.852296846341485
SC7,Region12,Social,11.39685817767523
SC7,Region12,Transportation,-0.016549920797484765
SC7,Tehran,Economic,-18.64242572509963
SC7,Tehran,Environmental,10.356877593742864
SC7,Tehran,Social,13.221643379745489
SC7,Tehran,Transportation,-0.046980995480973786
SC8,Region12,Economic,-50.75069102785153
SC8,Region12,Environmental,77.23022363853688
SC8,Region12,Social,94.14447499150543
SC8,Region12,Transportation,88.76649449568066
SC8,Tehran,Economic,-23.89239247961554
SC8,Tehran,Environmental,98.96041405291284
SC8,Tehran,Social,54.2402962855115
SC8,Tehran,Transportation,92.71130537221302
SC9,Region12,Economic,-53.53931431773061
SC9,Region12,Environmental,61.55797160754702
SC9,Region12,Social,54.673889364312
SC9,Region12,Transportation,83.6214742772615
SC9,Tehran,Economic,-36.26613963170171
SC9,Tehran,Environmental,70.26684952107864
SC9,Tehran,Social,25.791500007730495
SC9,Tehran,Transportation,89.78639596056968
