scenario,geo,group,kpi,unit,value_2030
SC0,Region12,main,CO₂ emissions,t/year,233634.40034884523
SC0,Tehran,main,CO₂ emissions,t/year,17612792.73894355
SC0,Region12,main,Climate cost,IRR/year,3504516005232.678
SC0,Tehran,main,Climate cost,IRR/year,264191891084153.25
SC0,Region12,main,Congestion index,–,1.249766674209992
SC0,Tehran,main,Congestion index,–,0.4099179885373706
SC0,Region12,main,Electricity use,kWh/year,73590342.86835201
SC0,Tehran,main,Electricity use,kWh/year,1401781954.77345
SC0,Region12,secondary,Energy: CNG,MJ/year,501503188.2790847
SC0,Tehran,secondary,Energy: CNG,MJ/year,31187928883.34365
SC0,Region12,secondary,Energy: diesel,MJ/year,82789709.53694084
SC0,Tehran,secondary,Energy: diesel,MJ/year,1127488799.702378
SC0,Region12,secondary,Energy: gasoline,MJ/year,2366298630.599586
SC0,Tehran,secondary,Energy: gasoline,MJ/year,222791457989.28656
SC0,Region12,main,Final energy,MJ/year,3215516762.741679
SC0,Tehran,main,Final energy,MJ/year,260153290709.51697
SC0,Region12,main,Health indicator,IRR/year,395695739484167.6
SC0,Tehran,main,Health indicator,IRR/year,1.2719895394156746e+16
SC0,Region12,main,Modal share: car,–,0.2108869508831757
SC0,Tehran,main,Modal share: car,–,0.5719353527432628
SC0,Region12,main,Modal share: public transport,–,0.34329626366188504
SC0,Tehran,main,Modal share: public transport,–,0.122537237362431
SC0,Region12,secondary,Municipal budget,IRR/year,44970517380498.805
SC0,Tehran,secondary,Municipal budget,IRR/year,5692470554493519.0
SC0,Region12,main,NOₓ emissions,t/year,908.7387510586456
SC0,Tehran,main,NOₓ emissions,t/year,66552.92108043148
SC0,Region12,secondary,Non-public transport trips,trips/year,208523174.7076124
SC0,Tehran,secondary,Non-public transport trips,trips/year,6957601067.428314
SC0,Region12,main,PM₂.₅ emissions,t/year,29.94198201622716
SC0,Tehran,main,PM₂.₅ emissions,t/year,1199.0403294278283
SC0,Region12,secondary,Population,persons,249861.9999999996
SC0,Tehran,secondary,Population,persons,10597028.517119344
SC0,Region12,secondary,Public transport trips,trips/year,109006882.10365377
SC0,Tehran,secondary,Public transport trips,trips/year,971625520.5062345
SC0,Region12,main,Time loss (car),hours/year,66990552.73804738
SC0,Tehran,main,Time loss (car),hours/year,980743688.4032822
SC0,Region12,secondary,Trips total (effective),trips/year,317530056.8112662
SC0,Tehran,secondary,Trips total (effective),trips/year,7929226587.934548
SC0,Region12,main,PCE-weighted VKT,PCE-km/year,1024877151.3236004
SC0,Tehran,main,PCE-weighted VKT,PCE-km/year,74489401386.75516
SC1,Region12,main,CO₂ emissions,t/year,232380.97681562035
SC1,Tehran,main,CO₂ emissions,t/year,16861120.786593575
SC1,Region12,main,Climate cost,IRR/year,3485714652234.305
SC1,Tehran,main,Climate cost,IRR/year,252916811798903.6
SC1,Region12,main,Congestion index,–,1.1974027315356868
SC1,Tehran,main,Congestion index,–,0.3927428449718679
SC1,Region12,main,Electricity use,kWh/year,74465647.61321531
SC1,Tehran,main,Electricity use,kWh/year,1377426630.9330883
SC1,Region12,secondary,Energy: CNG,MJ/year,499821620.8955707
SC1,Tehran,secondary,Energy: CNG,MJ/year,30078186444.66097
SC1,Region12,secondary,Energy: diesel,MJ/year,83734563.40168478
SC1,Tehran,secondary,Energy: diesel,MJ/year,1114137601.2632046
SC1,Region12,secondary,Energy: gasoline,MJ/year,2341012006.493942
SC1,Tehran,secondary,Energy: gasoline,MJ/year,212778501678.76254
SC1,Region12,main,Final energy,MJ/year,3192644522.1987724
SC1,Tehran,main,Final energy,MJ/year,248929561596.0459
SC1,Region12,main,Health indicator,IRR/year,388838688012858.5
SC1,Tehran,main,Health indicator,IRR/year,1.245062166960592e+16
SC1,Region12,main,Modal share: car,–,0.2076248763224611
SC1,Tehran,main,Modal share: car,–,0.5656283374336135
SC1,Region12,main,Modal share: public transport,–,0.3470870836134009
SC1,Tehran,main,Modal share: public transport,–,0.1259212424722416
SC1,Region12,secondary,Municipal budget,IRR/year,44970517380498.805
SC1,Tehran,secondary,Municipal budget,IRR/year,5692470554493519.0
SC1,Region12,main,NOₓ emissions,t/year,902.6573037431376
SC1,Tehran,main,NOₓ emissions,t/year,63687.751679625544
SC1,Region12,secondary,Non-public transport trips,trips/year,199544995.10430706
SC1,Tehran,secondary,Non-public transport trips,trips/year,6672447035.683495
SC1,Region12,main,PM₂.₅ emissions,t/year,29.84286187265158
SC1,Tehran,main,PM₂.₅ emissions,t/year,1151.1163116026892
SC1,Region12,secondary,Population,persons,249861.9999999996
SC1,Tehran,secondary,Population,persons,10599542.135608234
SC1,Region12,secondary,Public transport trips,trips/year,106077684.57653664
SC1,Tehran,secondary,Public transport trips,trips/year,961243839.6740334
SC1,Region12,main,Time loss (car),hours/year,61720114.89504485
SC1,Tehran,main,Time loss (car),hours/year,886078834.4057889
SC1,Region12,secondary,Trips total (effective),trips/year,305622679.6808437
SC1,Tehran,secondary,Trips total (effective),trips/year,7633690875.357528
SC1,Region12,main,PCE-weighted VKT,PCE-km/year,980546287.0199088
SC1,Tehran,main,PCE-weighted VKT,PCE-km/year,71368371818.15587
SC10,Region12,main,CO₂ emissions,t/year,225423.9336308596
SC10,Tehran,main,CO₂ emissions,t/year,16197982.596573336
SC10,Region12,main,Climate cost,IRR/year,3381359004462.893
SC10,Tehran,main,Climate cost,IRR/year,242969738948600.03
SC10,Region12,main,Congestion index,–,1.1532140239416826
SC10,Tehran,main,Congestion index,–,0.3782491426618345
SC10,Region12,main,Electricity use,kWh/year,87116696.02099542
SC10,Tehran,main,Electricity use,kWh/year,1920972553.0112927
SC10,Region12,secondary,Energy: CNG,MJ/year,417208233.6411075
SC10,Tehran,secondary,Energy: CNG,MJ/year,27409946178.021492
SC10,Region12,secondary,Energy: diesel,MJ/year,80951687.07146773
SC10,Tehran,secondary,Energy: diesel,MJ/year,1864166744.6307118
SC10,Region12,secondary,Energy: gasoline,MJ/year,2205127437.416519
SC10,Tehran,secondary,Energy: gasoline,MJ/year,199936330691.0559
SC10,Region12,main,Final energy,MJ/year,3016907463.804678
SC10,Tehran,main,Final energy,MJ/year,236125944804.5488
SC10,Region12,main,Health indicator,IRR/year,361785795037627.8
SC10,Tehran,main,Health indicator,IRR/year,1.1938419454447392e+16
SC10,Region12,main,Modal share: car,–,0.1975703005607799
SC10,Tehran,main,Modal share: car,–,0.5107255866807752
SC10,Region12,main,Modal share: public transport,–,0.38844902338716597
SC10,Tehran,main,Modal share: public transport,–,0.1847374885392131
SC10,Region12,secondary,Municipal budget,IRR/year,44970517380498.805
SC10,Tehran,secondary,Municipal budget,IRR/year,5692470554493519.0
SC10,Region12,main,NOₓ emissions,t/year,748.2002787418152
SC10,Tehran,main,NOₓ emissions,t/year,58680.68496594988
SC10,Region12,secondary,Non-public transport trips,trips/year,194185816.3468585
SC10,Tehran,secondary,Non-public transport trips,trips/year,6469752914.14236
SC10,Region12,main,PM₂.₅ emissions,t/year,20.735358992106192
SC10,Tehran,main,PM₂.₅ emissions,t/year,1015.6283843284539
SC10,Region12,secondary,Population,persons,249861.9999999996
SC10,Tehran,secondary,Population,persons,10605801.558319507
SC10,Region12,secondary,Public transport trips,trips/year,123344240.46440768
SC10,Tehran,secondary,Public transport trips,trips/year,1466038101.8702128
SC10,Region12,main,Time loss (car),hours/year,55426341.06649263
SC10,Tehran,main,Time loss (car),hours/year,793090038.2957267
SC10,Region12,secondary,Trips total (effective),trips/year,317530056.8112662
SC10,Tehran,secondary,Trips total (effective),trips/year,7935791016.012572
SC10,Region12,main,PCE-weighted VKT,PCE-km/year,970681495.4366394
SC10,Tehran,main,PCE-weighted VKT,PCE-km/year,68734607896.73236
SC11,Region12,main,CO₂ emissions,t/year,222591.52441135832
SC11,Tehran,main,CO₂ emissions,t/year,15648144.664680926
SC11,Region12,main,Climate cost,IRR/year,3338872866170.375
SC11,Tehran,main,Climate cost,IRR/year,234722169970213.9
SC11,Region12,main,Congestion index,–,1.121325732385647
SC11,Tehran,main,Congestion index,–,0.3677899228712233
SC11,Region12,main,Electricity use,kWh/year,84777986.61686432
SC11,Tehran,main,Electricity use,kWh/year,1849807509.198424
SC11,Region12,secondary,Energy: CNG,MJ/year,417035783.1772656
SC11,Tehran,secondary,Energy: CNG,MJ/year,26884375033.59557
SC11,Region12,secondary,Energy: diesel,MJ/year,81913310.80789731
SC11,Tehran,secondary,Energy: diesel,MJ/year,1862128777.7341921
SC11,Region12,secondary,Energy: gasoline,MJ/year,2181388790.174675
SC11,Tehran,secondary,Energy: gasoline,MJ/year,192805419736.2072
SC11,Region12,main,Final energy,MJ/year,2985538635.9805493
SC11,Tehran,main,Final energy,MJ/year,228211230580.6513
SC11,Region12,main,Health indicator,IRR/year,360652197492442.2
SC11,Tehran,main,Health indicator,IRR/year,1.181057065889856e+16
SC11,Region12,main,Modal share: car,–,0.1896421745102328
SC11,Tehran,main,Modal share: car,–,0.5003693447583978
SC11,Region12,main,Modal share: public transport,–,0.3814106730699902
SC11,Tehran,main,Modal share: public transport,–,0.1844309638252407
SC11,Region12,secondary,Municipal budget,IRR/year,44970517380498.805
SC11,Tehran,secondary,Municipal budget,IRR/year,5692470554493519.0
SC11,Region12,main,NOₓ emissions,t/year,767.6419138874949
SC11,Tehran,main,NOₓ emissions,t/year,57190.93337236566
