scenario,geo,group,kpi,unit,mean_2024_2030
SC0,Region12,main,CO₂ emissions,t/year,229418.01787762457
SC0,Region12,main,Climate cost,IRR/year,3441270268164.368
SC0,Region12,main,Congestion index,–,1.2190639211084127
SC0,Region12,main,Electricity use,kWh/year,72170611.47236809
SC0,Region12,main,Final energy,MJ/year,3156849604.6597047
SC0,Region12,main,Health indicator,IRR/year,386949292159077.9
SC0,Region12,main,Modal share: car,–,0.2125879114120119
SC0,Region12,main,Modal share: public transport,–,0.3469776162014552
SC0,Region12,main,NOₓ emissions,t/year,889.5946006566675
SC0,Region12,main,PM₂.₅ emissions,t/year,29.054050331345394
SC0,Region12,main,Time loss (car),hours/year,63340245.04057304
SC0,Region12,main,PCE-weighted VKT,PCE-km/year,999325997.7726593
SC0,Region12,secondary,Energy: CNG,MJ/year,486418161.47849685
SC0,Region12,secondary,Energy: diesel,MJ/year,78883814.6890737
SC0,Region12,secondary,Energy: gasoline,MJ/year,2331733427.1916084
SC0,Region12,secondary,Municipal budget,IRR/year,25492972518753.945
SC0,Region12,secondary,Non-public transport trips,trips/year,202109598.22228366
SC0,Region12,secondary,Population,persons,247791.92857142843
SC0,Region12,secondary,Public transport trips,trips/year,107359550.66549264
SC0,Region12,secondary,Trips total (effective),trips/year,309469148.8877763
SC0,Tehran,main,CO₂ emissions,t/year,16947088.562174026
SC0,Tehran,main,Climate cost,IRR/year,254206328432610.4
SC0,Tehran,main,Congestion index,–,0.3998476201608777
SC0,Tehran,main,Electricity use,kWh/year,1218611645.4225569
SC0,Tehran,main,Final energy,MJ/year,250904559607.26587
SC0,Tehran,main,Health indicator,IRR/year,1.2068947218656562e+16
SC0,Tehran,main,Modal share: car,–,0.5718422086130328
SC0,Tehran,main,Modal share: public transport,–,0.12224080237775069
SC0,Tehran,main,NOₓ emissions,t/year,64233.33722408333
SC0,Tehran,main,PM₂.₅ emissions,t/year,1152.854905384204
SC0,Tehran,main,Time loss (car),hours/year,911363560.0586444
SC0,Tehran,main,PCE-weighted VKT,PCE-km/year,71508803483.07695
SC0,Tehran,secondary,Energy: CNG,MJ/year,29972944175.722897
SC0,Tehran,secondary,Energy: diesel,MJ/year,1103410886.141622
SC0,Tehran,secondary,Energy: gasoline,MJ/year,215441202621.88016
SC0,Tehran,secondary,Municipal budget,IRR/year,3226958546677714.5
SC0,Tehran,secondary,Non-public transport trips,trips/year,6718216939.975172
SC0,Tehran,secondary,Population,persons,10228725.477084637
SC0,Tehran,secondary,Public transport trips,trips/year,935426898.2534068
SC0,Tehran,secondary,Trips total (effective),trips/year,7653643838.228578
SC1,Region12,main,CO₂ emissions,t/year,228931.05493768284
SC1,Region12,main,Climate cost,IRR/year,3433965824065.2427
SC1,Region12,main,Congestion index,–,1.1913949530825616
SC1,Region12,main,Electricity use,kWh/year,72604382.64113002
SC1,Region12,main,Final energy,MJ/year,3147526284.6621084
SC1,Region12,main,Health indicator,IRR/year,383438620241768.0
SC1,Region12,main,Modal share: car,–,0.21103038463588472
SC1,Region12,main,Modal share: public transport,–,0.34878096667595865
SC1,Region12,main,NOₓ emissions,t/year,887.090050255207
SC1,Region12,main,PM₂.₅ emissions,t/year,29.012744979603404
SC1,Region12,main,Time loss (car),hours/year,60651221.82367389
SC1,Region12,main,PCE-weighted VKT,PCE-km/year,977060628.6397057
SC1,Region12,secondary,Energy: CNG,MJ/year,485715250.7261651
SC1,Region12,secondary,Energy: diesel,MJ/year,79336369.31602721
SC1,Region12,secondary,Energy: gasoline,MJ/year,2321098887.111848
SC1,Region12,secondary,Municipal budget,IRR/year,25492972518753.945
SC1,Region12,secondary,Non-public transport trips,trips/year,197530898.0328707
SC1,Region12,secondary,Population,persons,247791.92857142843
SC1,Region12,secondary,Public transport trips,trips/year,105789910.70692948
SC1,Region12,secondary,Trips total (effective),trips/year,303320808.73980016
SC1,Tehran,main,CO₂ emissions,t/year,16546008.179237543
SC1,Tehran,main,Climate cost,IRR/year,248190122688563.16
SC1,Tehran,main,Congestion index,–,0.39077231998516193
SC1,Tehran,main,Electricity use,kWh/year,1206322909.7433693
SC1,Tehran,main,Final energy,MJ/year,244912168239.73062
SC1,Tehran,main,Health indicator,IRR/year,1.1927535993772126e+16
SC1,Tehran,main,Modal share: car,–,0.5678690804753312
SC1,Tehran,main,Modal share: public transport,–,0.12452871409315178
SC1,Tehran,main,NOₓ emissions,t/year,62710.23252785656
SC1,Tehran,main,PM₂.₅ emissions,t/year,1127.6372423963644
SC1,Tehran,main,Time loss (car),hours/year,861753863.9681795
SC1,Tehran,main,PCE-weighted VKT,PCE-km/year,69877862309.31262
SC1,Tehran,secondary,Energy: CNG,MJ/year,29381668096.760525
SC1,Tehran,secondary,Energy: diesel,MJ/year,1115432955.684197
SC1,Tehran,secondary,Energy: gasoline,MJ/year,210072304712.20972
SC1,Tehran,secondary,Municipal budget,IRR/year,3226958546677714.5
SC1,Tehran,secondary,Non-public transport trips,trips/year,6567382900.7360735
SC1,Tehran,secondary,Population,persons,10229648.22873717
SC1,Tehran,secondary,Public transport trips,trips/year,934218101.8972381
SC1,Tehran,secondary,Trips total (effective),trips/year,7501601002.633311
SC10,Region12,main,CO₂ emissions,t/year,223873.40558814988
SC10,Region12,main,Climate cost,IRR/year,3358101083822.2476
SC10,Region12,main,Congestion index,–,1.1493689971360708
SC10,Region12,main,Electricity use,kWh/year,83957009.91290312
SC10,Region12,main,Final energy,MJ/year,3010079309.726433
SC10,Region12,main,Health indicator,IRR/year,365725891704200.9
SC10,Region12,main,Modal share: car,–,0.20073693559459654
SC10,Region12,main,Modal share: public transport,–,0.389415613998641
SC10,Region12,main,NOₓ emissions,t/year,790.8247207795426
SC10,Region12,main,PM₂.₅ emissions,t/year,23.364261351228805
SC10,Region12,main,Time loss (car),hours/year,54601855.752704866
SC10,Region12,main,PCE-weighted VKT,PCE-km/year,950194708.6590668
SC10,Region12,secondary,Energy: CNG,MJ/year,426781891.1868237
SC10,Region12,secondary,Energy: diesel,MJ/year,81103947.25966498
SC10,Region12,secondary,Energy: gasoline,MJ/year,2199948235.593493
SC10,Region12,secondary,Municipal budget,IRR/year,25492972518753.945
SC10,Region12,secondary,Non-public transport trips,trips/year,188957239.21514907
SC10,Region12,secondary,Population,persons,247791.92857142843
SC10,Region12,secondary,Public transport trips,trips/year,120511909.67262724
SC10,Region12,secondary,Trips total (effective),trips/year,309469148.8877763
SC10,Tehran,main,CO₂ emissions,t/year,15995133.736098286
SC10,Tehran,main,Climate cost,IRR/year,239927006041474.28
SC10,Tehran,main,Congestion index,–,0.3769879907311951
SC10,Tehran,main,Electricity use,kWh/year,1627900987.0920346
SC10,Tehran,main,Final energy,MJ/year,234523132128.7437
SC10,Tehran,main,Health indicator,IRR/year,1.1578596924920028e+16
SC10,Tehran,main,Modal share: car,–,0.519799423987172
SC10,Tehran,main,Modal share: public transport,–,0.17667368516181714
SC10,Tehran,main,NOₓ emissions,t/year,59164.87654864846
SC10,Tehran,main,PM₂.₅ emissions,t/year,1043.1829791035955
SC10,Tehran,main,Time loss (car),hours/year,779961706.3698405
SC10,Tehran,main,PCE-weighted VKT,PCE-km/year,67410649870.29737
SC10,Tehran,secondary,Energy: CNG,MJ/year,27767030672.26169
SC10,Tehran,secondary,Energy: diesel,MJ/year,1767256152.9981549
SC10,Tehran,secondary,Energy: gasoline,MJ/year,199128401749.95255
SC10,Tehran,secondary,Municipal budget,IRR/year,3226958546677714.5
SC10,Tehran,secondary,Non-public transport trips,trips/year,6302110252.91458
SC10,Tehran,secondary,Population,persons,10232360.853982698
SC10,Tehran,secondary,Public transport trips,trips/year,1354253756.077973
SC10,Tehran,secondary,Trips total (effective),trips/year,7656364008.992554
SC11,Region12,main,CO₂ emissions,t/year,223841.06690116492
SC11,Region12,main,Climate cost,IRR/year,3357616003517.4736
SC11,Region12,main,Congestion index,–,1.1407446735034728
SC11,Region12,main,Electricity use,kWh/year,80017987.29405081
SC11,Region12,main,Final energy,MJ/year,3029396546.431554
SC11,Region12,main,Health indicator,IRR/year,367223685013005.0
SC11,Region12,main,Modal share: car,–,0.2002277418213064
SC11,Region12,main,Modal share: public transport,–,0.3751959305272363
SC11,Region12,main,NOₓ emissions,t/year,811.4599336054869
SC11,Region12,main,PM₂.₅ emissions,t/year,24.796775777697142
SC11,Region12,main,Time loss (car),hours/year,53853801.03455782
SC11,Region12,main,PCE-weighted VKT,PCE-km/year,955212975.1473103
SC11,Region12,secondary,Energy: CNG,MJ/year,436845996.71838045
SC11,Region12,secondary,Energy: diesel,MJ/year,79938269.9143742
SC11,Region12,secondary,Energy: gasoline,MJ/year,2224547525.540216
SC11,Region12,secondary,Municipal budget,IRR/year,25492972518753.945
SC11,Region12,secondary,Non-public transport trips,trips/year,190851634.91930225
SC11,Region12,secondary,Population,persons,247791.92857142843
SC11,Region12,secondary,Public transport trips,trips/year,114621092.87228954
SC11,Region12,secondary,Trips total (effective),trips/year,305472727.7915918
SC11,Tehran,main,CO₂ emissions,t/year,15791762.61766079
SC11,Tehran,main,Climate cost,IRR/year,236876439264911.84
SC11,Tehran,main,Congestion index,–,0.3741592503999612
SC11,Tehran,main,Electricity use,kWh/year,1536186049.048481
SC11,Tehran,main,Final energy,MJ/year,231916641360.16553
SC11,Tehran,main,Health indicator,IRR/year,1.1548638315801222e+16
SC11,Tehran,main,Modal share: car,–,0.5187820618838418
SC11,Tehran,main,Modal share: public transport,–,0.17031731871056813
SC11,Tehran,main,NOₓ emissions,t/year,58780.197143088255
SC11,Tehran,main,PM₂.₅ emissions,t/year,1048.5729502004829
SC11,Tehran,main,Time loss (car),hours/year,763683973.0738305
SC11,Tehran,main,PCE-weighted VKT,PCE-km/year,66906636293.75871
SC11,Tehran,secondary,Energy: CNG,MJ/year,27695122503.19277
SC11,Tehran,secondary,Energy: diesel,MJ/year,1725546142.4991603
SC11,Tehran,secondary,Energy: gasoline,MJ/year,196965702937.8991
SC11,Tehran,secondary,Municipal budget,IRR/year,3226958546677714.5
SC11,Tehran,secondary,Non-public transport trips,trips/year,6268483434.716902
SC11,Tehran,secondary,Population,persons,10232370.492197737
SC11,Tehran,secondary,Public transport trips,trips/year,1288570756.9101508
SC11,Tehran,secondary,Trips total (effective),trips/year,7557054191.627052
SC2,Region12,main,CO₂ emissions,t/year,227845.53510724925
SC2,Region12,main,Climate cost,IRR/year,3417683026608.739
SC2,Region12,main,Congestion index,–,1.2126321917054657
SC2,Region12,main,Electricity use,kWh/year,73073229.31585011
SC2,Region12,main,Final energy,MJ/year,3128158390.8880816
SC2,Region12,main,Health indicator,IRR/year,385549526605103.4
SC2,Region12,main,Modal share: car,–,0.20735832123255138
SC2,Region12,main,Modal share: public transport,–,0.35113034355079736
SC2,Region12,main,NOₓ emissions,t/year,884.0323470064692
SC2,Region12,main,PM₂.₅ emissions,t/year,29.18735774665011
SC2,Region12,main,Time loss (car),hours/year,61214659.381796904
SC2,Region12,main,PCE-weighted VKT,PCE-km/year,992447203.6243538
SC2,Region12,secondary,Energy: CNG,MJ/year,479558505.44168395
SC2,Region12,secondary,Energy: diesel,MJ/year,80169380.3460746
SC2,Region12,secondary,Energy: gasoline,MJ/year,2305366879.5632625
SC2,Region12,secondary,Municipal budget,IRR/year,25492972518753.945
SC2,Region12,secondary,Non-public transport trips,trips/year,200806910.24437645
SC2,Region12,secondary,Population,persons,247791.92857142843
SC2,Region12,secondary,Public transport trips,trips/year,108662238.64339985
SC2,Region12,secondary,Trips total (effective),trips/year,309469148.8877763
