agent_id,in_degree,out_degree,engine_isolated,external_support_role,unused_configured_node
AF_NO2,1,1,False,,False
AF_PM25,1,1,False,,False
AF_PM25_adult,1,1,False,,False
AF_PM25_child,1,1,False,,False
CAPEX_bike_infrastructure_IRR_year,3,1,False,,False
CAPEX_brt_IRR_year,6,1,False,,False
CAPEX_brt_infrastructure_IRR_year,3,1,False,,False
CAPEX_bus_IRR_year,6,1,False,,False
CAPEX_car_IRR_year,5,1,False,,False
CAPEX_metro_infrastructure_IRR_year,3,1,False,,False
CAPEX_metro_rolling_IRR_year,3,1,False,,False
CAPEX_road_IRR_year,3,1,False,,False
CAPEX_taxi_IRR_year,5,1,False,,False
CAPEX_transport_IRR_year,9,1,False,,False
CAPEX_transport_affordable_IRR_year,5,5,False,,False
CAPEX_transport_affordable_IRR_year_r12_alloc,5,1,False,,False
CO2_CNG_kg_year,2,1,False,,False
CO2_diesel_kg_year,2,1,False,,False
CO2_gasoline_kg_year,2,1,False,,False
CO2_grid_kg_year,2,1,False,,False
CO2_intensity_g_pkm,2,0,False,,False
CO2_kg_year,4,2,False,,False
CO2_t_year,1,1,False,,False
CO2_t_year_r12,8,1,False,,False
CRF_bus,2,2,False,,False
CRF_car,2,2,False,,False
CRF_infrastructure,2,8,False,,False
CRF_metro_rolling,2,1,False,,False
CR_NO2_mortality,0,1,False,,False
CR_PM25_mortality_adult,0,2,False,,False
CR_PM25_mortality_child,0,1,False,,False
CR_PM25_respiratory_admission,0,1,False,,False
EF_CO2_CNG_kg_kg,0,2,False,,False
EF_CO2_diesel_kg_litre,0,2,False,,False
EF_CO2_gasoline_kg_litre,0,2,False,,False
EF_CO2_grid_kg_kWh,0,2,False,,False
EF_NOx_bus_g_km,0,2,False,,False
EF_NOx_car_g_km,0,2,False,,False
EF_NOx_motorcycle_g_km,0,2,False,,False
EF_NOx_taxi_g_km,0,2,False,,False
EF_PM25_bus_g_km,0,2,False,,False
EF_PM25_car_g_km,0,2,False,,False
EF_PM25_motorcycle_g_km,0,2,False,,False
EF_PM25_taxi_g_km,0,2,False,,False
EF_SO2_bus_g_km,0,1,False,,False
EF_SO2_car_g_km,0,1,False,,False
EF_SO2_motorcycle_g_km,0,1,False,,False
EF_SO2_taxi_g_km,0,1,False,,False
EF_grid_NOx_g_kWh,0,2,False,,False
EF_grid_PM25_g_kWh,0,2,False,,False
EF_grid_SO2_g_kWh,0,1,False,,False
EV_share_vkm_weighted,8,1,False,,False
GDP_city_IRR_year,1,1,False,,False
GDP_city_obs,0,1,False,,False
GDP_per_capita_IRR_year,2,0,False,,False
LHV_CNG_MJ_kg,0,2,False,,False
LHV_diesel_MJ_litre,0,2,False,,False
LHV_electricity_MJ_kWh,0,2,False,,False
LHV_gasoline_MJ_litre,0,2,False,,False
NO2_background_ugm3,0,3,False,,False
NO2_excess_city_ugm3,2,1,False,,False
NO2_multiplier_r12,2,1,False,,False
NO2_threshold_ugm3,0,1,False,,False
NOx_g_year,2,1,False,,False
NOx_grid_g_year,2,1,False,,False
NOx_pc_ratio_r12_vs_city,2,1,False,,False
NOx_per_capita_city_t_person_year,2,1,False,,False
NOx_per_capita_r12_t_person_year,2,1,False,,False
NOx_t_year,1,2,False,,False
NOx_t_year_r12,15,1,False,,False
NOx_tailpipe_g_year,8,1,False,,False
OPEX_BRT_IRR_year,2,2,False,,False
OPEX_PT_IRR_year,4,4,False,,False
OPEX_PT_IRR_year_r12_alloc,13,4,False,,False
OPEX_PT_deficit_IRR_year,2,0,False,,False
OPEX_PT_deficit_IRR_year_r12_alloc,2,0,False,,False
OPEX_bus_IRR_year,2,2,False,,False
OPEX_car_IRR_year,2,1,False,,False
OPEX_metro_IRR_year,2,2,False,,False
OPEX_taxi_IRR_year,2,1,False,,False
OPEX_transport_IRR_year,5,1,False,,False
PM25_background_ugm3,0,1,False,,False
PM25_g_year,2,1,False,,False
PM25_grid_g_year,2,1,False,,False
PM25_t_year,1,1,False,,False
PM25_t_year_r12,15,0,False,,False
