agent_id,structural_type,functional_role,category,subcategory,region,dependencies_count,dependencies,target_column,expression
YEAR_GRG,input,Input/exogenous or initialized state,time,calendar,city,0,,,
days_per_year,input,Input/exogenous or initialized state,time,time_indexing,city,0,,,
GDP_city_IRR_year,expression,SD stock-flow / aggregate consequence / feedback,economic,macro,city,1,GDP_city_obs,,GDP_city_obs if YEAR_GRG<=2023 else (4.91e+16 * ((1+0.284355340399971) ** (YEAR_GRG-2023)))
GDP_per_capita_IRR_year,expression,SD stock-flow / aggregate consequence / feedback,economic,macro,city,0,,,"GDP_city_IRR_year / max(population_city, 1)"
inflation_index_effective,stock,SD stock-flow / aggregate consequence / feedback,economic,prices_inflation_fx,city,0,,,
inflation_index_effective_growth,expression,SD stock-flow / aggregate consequence / feedback,economic,prices_inflation_fx,city,0,,,0 if time == start_year else (inflation_index_effective * inflation_rate_effective)
inflation_rate,input,Input/exogenous or initialized state,economic,prices_inflation_fx,city,0,,,
inflation_rate_effective,expression,SD stock-flow / aggregate consequence / feedback,economic,prices_inflation_fx,city,0,,,inflation_rate * (1 + (inflation_shock_factor - 1) * is_inflation_shock_active)
inflation_shock_factor,input,Input/exogenous or initialized state,economic,prices_inflation_fx,city,0,,,
inflation_shock_start_year,input,Input/exogenous or initialized state,economic,prices_inflation_fx,city,0,,,
is_inflation_shock_active,expression,SD stock-flow / aggregate consequence / feedback,economic,prices_inflation_fx,city,0,,,1 if time >= inflation_shock_start_year else 0
cost_index_rhc_fare,stock,SD stock-flow / aggregate consequence / feedback,economic,prices_inflation_fx,city,0,,,
cost_index_rhc_fare_growth,expression,SD stock-flow / aggregate consequence / feedback,economic,prices_inflation_fx,city,0,,,0 if online_taxi_active == 0 else (cost_index_rhc_fare * rhc_fare_rate)
rhc_fare_rate,input,Input/exogenous or initialized state,economic,prices_inflation_fx,city,0,,,
cost_index_bus_fare,stock,SD stock-flow / aggregate consequence / feedback,economic,prices_inflation_fx,city,0,,,
cost_index_bus_fare_growth,expression,SD stock-flow / aggregate consequence / feedback,economic,prices_inflation_fx,city,0,,,0 if time == start_year else (cost_index_bus_fare * bus_fare_rate)
bus_fare_rate,input,Input/exogenous or initialized state,economic,prices_inflation_fx,city,0,,,
cost_index_metro_fare,stock,SD stock-flow / aggregate consequence / feedback,economic,prices_inflation_fx,city,0,,,
cost_index_metro_fare_growth,expression,SD stock-flow / aggregate consequence / feedback,economic,prices_inflation_fx,city,0,,,0 if time == start_year else (cost_index_metro_fare * metro_fare_rate)
metro_fare_rate,input,Input/exogenous or initialized state,economic,prices_inflation_fx,city,0,,,
municipal_budget_IRR_year,input,Input/exogenous or initialized state,economic,budget,city,0,,,
transport_budget_share,input,Input/exogenous or initialized state,economic,macro,city,0,,,
transport_budget_IRR_year,expression,SD stock-flow / aggregate consequence / feedback,economic,macro,city,0,,,municipal_budget_IRR_year * transport_budget_share
public_investment_rate_transport,input,Input/exogenous or initialized state,economic,macro,city,0,,,
CAPEX_transport_affordable_IRR_year,expression,SD stock-flow / aggregate consequence / feedback,economic,macro,city,5,transport_budget_IRR_year | public_investment_rate_transport | traffic_plan_revenue_earmark_share_transport | traffic_plan_revenue_collection_factor | traffic_plan_revenue_IRR_year,,transport_budget_IRR_year * public_investment_rate_transport + traffic_plan_revenue_earmark_share_transport * traffic_plan_revenue_collection_factor * traffic_plan_revenue_IRR_year
share_CAPEX_bike_infra,input,Input/exogenous or initialized state,economic,capex,city,0,,,
share_CAPEX_road,input,Input/exogenous or initialized state,economic,capex,city,0,,,
