agent,type,column,category,subcategory,region,has_expression,has_inflows,has_outflows
AF_NO2,expression,,social,health_impacts,city,True,False,False
AF_PM25,expression,,social,health_impacts,city,True,False,False
AF_PM25_adult,expression,,social,health_impacts,city,True,False,False
AF_PM25_child,expression,,social,health_impacts,city,True,False,False
CAPEX_bike_infrastructure_IRR_year,expression,,economic,capex,city,True,False,False
CAPEX_brt_IRR_year,expression,,economic,capex,city,True,False,False
CAPEX_brt_infrastructure_IRR_year,expression,,economic,capex,city,True,False,False
CAPEX_bus_IRR_year,expression,,economic,capex,city,True,False,False
CAPEX_car_IRR_year,expression,,economic,capex,city,True,False,False
CAPEX_metro_infrastructure_IRR_year,expression,,economic,capex,city,True,False,False
CAPEX_metro_rolling_IRR_year,expression,,economic,capex,city,True,False,False
CAPEX_road_IRR_year,expression,,economic,capex,city,True,False,False
CAPEX_taxi_IRR_year,expression,,economic,capex,city,True,False,False
CAPEX_transport_IRR_year,expression,,economic,capex,city,True,False,False
CAPEX_transport_affordable_IRR_year,expression,,economic,macro,city,True,False,False
CAPEX_transport_affordable_IRR_year_r12_alloc,expression,,economic,public_transport_finance,region 12,True,False,False
CO2_CNG_kg_year,expression,,environment,climate_co2,city,True,False,False
CO2_diesel_kg_year,expression,,environment,climate_co2,city,True,False,False
CO2_gasoline_kg_year,expression,,environment,climate_co2,city,True,False,False
CO2_grid_kg_year,expression,,environment,climate_co2,city,True,False,False
CO2_intensity_g_pkm,expression,,environment,climate_co2,city,True,False,False
CO2_kg_year,expression,,environment,climate_co2,city,True,False,False
CO2_t_year,expression,,environment,climate_co2,city,True,False,False
CO2_t_year_r12,expression,,environment,emissions,region 12,True,False,False
CRF_bus,expression,,economic,capex,city,True,False,False
CRF_car,expression,,economic,capex,city,True,False,False
CRF_infrastructure,expression,,economic,capex,city,True,False,False
CRF_metro_rolling,expression,,economic,capex,city,True,False,False
EV_share_vkm_weighted,expression,,environment,energy_use,city,True,False,False
GDP_city_IRR_year,expression,,economic,macro,city,True,False,False
GDP_per_capita_IRR_year,expression,,economic,macro,city,True,False,False
NO2_excess_city_ugm3,expression,,environment,air_quality,city,True,False,False
NO2_multiplier_r12,expression,,environment,air_quality,region 12,True,False,False
NOx_g_year,expression,,environment,emissions_city,city,True,False,False
NOx_grid_g_year,expression,,environment,emissions_city,city,True,False,False
NOx_pc_ratio_r12_vs_city,expression,,environment,air_quality,region 12,True,False,False
NOx_per_capita_city_t_person_year,expression,,environment,air_quality,city,True,False,False
NOx_per_capita_r12_t_person_year,expression,,environment,air_quality,region 12,True,False,False
NOx_t_year,expression,,environment,emissions_city,city,True,False,False
NOx_t_year_r12,expression,,environment,emissions,region 12,True,False,False
NOx_tailpipe_g_year,expression,,environment,emissions_city,city,True,False,False
OPEX_BRT_IRR_year,expression,,economic,opex,city,True,False,False
OPEX_PT_IRR_year,expression,,economic,fares_revenue,city,True,False,False
OPEX_PT_IRR_year_r12_alloc,expression,,economic,public_transport_finance,region 12,True,False,False
OPEX_PT_deficit_IRR_year,expression,,economic,public_transport_finance,city,True,False,False
OPEX_PT_deficit_IRR_year_r12_alloc,expression,,economic,public_transport_finance,region 12,True,False,False
OPEX_bus_IRR_year,expression,,economic,opex,city,True,False,False
OPEX_car_IRR_year,expression,,economic,opex,city,True,False,False
OPEX_metro_IRR_year,expression,,economic,opex,city,True,False,False
OPEX_taxi_IRR_year,expression,,economic,opex,city,True,False,False
OPEX_transport_IRR_year,expression,,economic,opex,city,True,False,False
PM25_g_year,expression,,environment,emissions_city,city,True,False,False
PM25_grid_g_year,expression,,environment,emissions_city,city,True,False,False
PM25_t_year,expression,,environment,emissions_city,city,True,False,False
PM25_t_year_r12,expression,,environment,emissions_region,region 12,True,False,False
PM25_tailpipe_g_year,expression,,environment,emissions_city,city,True,False,False
PT_affordability_ratio,expression,,economic,fares_revenue,city,True,False,False
PT_expenditure_per_person_IRR_year,expression,,economic,fares_revenue,city,True,False,False
PT_expenditure_total_IRR_year,expression,,economic,public_transport_finance,city,True,False,False
PT_expenditure_total_IRR_year_r12_alloc,expression,,economic,public_transport_finance,region 12,True,False,False
PT_subsidy_need_IRR_year,expression,,economic,public_transport_finance,city,True,False,False
PT_subsidy_need_IRR_year_r12_alloc,expression,,economic,public_transport_finance,region 12,True,False,False
PT_trips_per_person_per_year,expression,,economic,fares_revenue,city,True,False,False
PT_trips_total,expression,,economic,fares_revenue,city,True,False,False
PT_trips_total_r12,expression,,transport,mode_specific_demand,region 12,True,False,False
RR_NO2,expression,,social,health_impacts,city,True,False,False
RR_PM25,expression,,social,health_impacts,city,True,False,False
RR_PM25_adult,expression,,social,health_impacts,city,True,False,False
RR_PM25_child,expression,,social,health_impacts,city,True,False,False
SO2_g_year,expression,,environment,emissions_city,city,True,False,False
SO2_grid_g_year,expression,,environment,emissions_city,city,True,False,False
SO2_tailpipe_g_year,expression,,environment,emissions_city,city,True,False,False
VOT_IRR_per_hour_effective,expression,,economic,external_costs,city,True,False,False
acc_fatl,expression,,social,safety,city,True,False,False
adj_factor_bus_policy,expression,,policy,adjustment,city,True,False,False
adj_factor_bus_policy_r12,expression,,policy,adjustment,region 12,True,False,False
adj_factor_car_policy,expression,,policy,adjustment,city,True,False,False
adj_factor_car_policy_r12,expression,,policy,adjustment,region 12,True,False,False
adj_factor_metro_policy,expression,,policy,adjustment,city,True,False,False
adj_factor_metro_policy_r12,expression,,policy,adjustment,region 12,True,False,False
adj_factor_mot_policy_r12,expression,,policy,adjustment,region 12,True,False,False
adj_factor_motorcycle_policy,expression,,policy,adjustment,city,True,False,False
adj_factor_oth_policy_r12,expression,,policy,adjustment,region 12,True,False,False
adj_factor_other_policy,expression,,policy,adjustment,city,True,False,False
adj_factor_tax_policy_r12,expression,,policy,adjustment,region 12,True,False,False
adj_factor_taxi_policy,expression,,policy,adjustment,city,True,False,False
baseline_deaths_adult_year,expression,,social,health_impacts,city,True,False,False
baseline_deaths_child_year,expression,,social,health_impacts,city,True,False,False
baseline_deaths_total_year,expression,,social,health_impacts,city,True,False,False
birth_rate_per_person_year,expression,,social,demography,city,True,False,False
births_total_year,expression,,social,demography,city,True,False,False
brt_vehicles_per_km,expression,,transport,service_proxy,city,True,False,False
bus_vehicles_per_km,expression,,transport,service_proxy,city,True,False,False
capex_bike_infrastructure_IRR_per_km_indexed,expression,,economic,capex,city,True,False,False
capex_brt_bus_EV_IRR_per_vehicle_indexed,expression,,economic,capex,city,True,False,False
capex_brt_bus_IRR_per_vehicle_indexed,expression,,economic,capex,city,True,False,False
capex_brt_infrastructure_IRR_per_km_indexed,expression,,economic,capex,city,True,False,False
capex_bus_EV_IRR_per_vehicle_indexed,expression,,economic,capex,city,True,False,False
capex_bus_IRR_per_vehicle_indexed,expression,,economic,capex,city,True,False,False
capex_car_EV_IRR_per_vehicle_indexed,expression,,economic,capex,city,True,False,False
capex_car_IRR_per_vehicle_indexed,expression,,economic,capex,city,True,False,False
capex_metro_infrastructure_IRR_per_km_indexed,expression,,economic,capex,city,True,False,False
