scenario,check,status,detail
SC0,year_span,ok,min=2012.0 max=2030.0 rows=19
SC0,nonnegative::trips_per_year,ok,min=6370889222.319366
SC0,nonnegative::fuel_gasoline_litre_year,ok,min=3654620000.0
SC0,nonnegative::fuel_CNG_kg_year,ok,min=551841790.6294749
SC0,nonnegative::concentration_PM25_ugm3,ok,min=27.341801373870204
SC0,nonnegative::concentration_NO2_ugm3,ok,min=45.571924614603326
SC0,nonnegative::private_cars_total,ok,min=3504556.0
SC0,nonnegative::taxis_total,ok,min=77949.0
SC0,nonnegative::buses_total,ok,min=2047.0
SC0,nonnegative::brts_total,ok,min=942.0
SC0,nonnegative::metro_cars_total,ok,min=805.0
SC0,city_modal_sum,ok,max_abs_dev=3.3306690738754696e-16
SC0,r12_modal_sum,ok,max_abs_dev=3.3306690738754696e-16
SC0,taxi_fuel_sum,ok,max_abs_dev=1.1102230246251565e-16
SC0,bounded01::share_taxi_CNG,ok,min=0.9 max=0.9
SC0,bounded01::share_taxi_EV,ok,min=0.0 max=0.0
SC0,bounded01::share_taxi_gasoline,ok,min=0.0999999999999999 max=0.0999999999999999
SC0,bounded01::modal_share_car,ok,min=0.3675330289154041 max=0.6223295177807698
SC0,bounded01::modal_share_taxi,ok,min=0.1766651975940266 max=0.229930822
SC0,bounded01::modal_share_bus,ok,min=0.035682879821833 max=0.2061320912326127
SC0,bounded01::modal_share_metro,ok,min=0.0619129095226186 max=0.1133328141240865
SC0,bounded01::modal_share_motorcycle,ok,min=0.04589568366527 max=0.0832053387487339
SC0,bounded01::modal_share_other,ok,min=0.0319507038770566 max=0.0474294529999999
SC0,bounded01::modal_share_car_r12,ok,min=0.1571107415094187 max=0.2517150518192176
SC0,bounded01::modal_share_tax_r12,ok,min=0.1360005675012111 max=0.1881518045801198
SC0,bounded01::modal_share_bus_r12,ok,min=0.1000330329421634 max=0.3077962111469864
SC0,bounded01::modal_share_met_r12,ok,min=0.152 max=0.2517063498665917
SC0,bounded01::modal_share_mot_r12,ok,min=0.1592172390383228 max=0.2150089586063975
SC0,bounded01::modal_share_oth_r12,ok,min=0.054843717940288 max=0.064160049113083
SC0,bounded01::brt_share_of_bus,ok,min=0.4 max=0.55
SC0,plausible::occ_car,ok,min=1.0 threshold=1.0
SC0,plausible::occ_mot,ok,min=1.28 threshold=1.0
SC0,plausible::occ_tax,ok,min=4.07 threshold=1.0
SC0,plausible::occ_bus,ok,min=45.93 threshold=5.0
SC0,plausible::occ_met,ok,min=876.0 threshold=10.0
SC0,positive::spd_mot,ok,min=26.299171784160222
SC0,positive::spd_car,ok,min=22.781811548464315
SC0,positive::spd_tax,ok,min=21.06650975857901
SC0,positive::spd_bus,ok,min=17.967188901592607
SC0,positive::spd_met,ok,min=21.8812
SC0,positive::travel_time_motorcycle_hours,ok,min=0.380712723709643
SC0,positive::travel_time_car_hours,ok,min=0.4148938035718598
SC0,positive::travel_time_taxi_hours,ok,min=0.4486757680279946
SC0,positive::travel_time_bus_hours,ok,min=0.4996572273811515
SC0,positive::travel_time_metro_hours,ok,min=0.4430689251147877
SC1,year_span,ok,min=2012.0 max=2030.0 rows=19
SC1,nonnegative::trips_per_year,ok,min=6370889222.319366
SC1,nonnegative::fuel_gasoline_litre_year,ok,min=3654620000.0
SC1,nonnegative::fuel_CNG_kg_year,ok,min=551841790.6294749
SC1,nonnegative::concentration_PM25_ugm3,ok,min=27.341801373870204
SC1,nonnegative::concentration_NO2_ugm3,ok,min=45.571924614603326
SC1,nonnegative::private_cars_total,ok,min=3504556.0
SC1,nonnegative::taxis_total,ok,min=77949.0
SC1,nonnegative::buses_total,ok,min=2047.0
SC1,nonnegative::brts_total,ok,min=942.0
SC1,nonnegative::metro_cars_total,ok,min=805.0
SC1,city_modal_sum,ok,max_abs_dev=3.3306690738754696e-16
SC1,r12_modal_sum,ok,max_abs_dev=3.3306690738754696e-16
SC1,taxi_fuel_sum,ok,max_abs_dev=1.1102230246251565e-16
SC1,bounded01::share_taxi_CNG,ok,min=0.9 max=0.9
SC1,bounded01::share_taxi_EV,ok,min=0.0 max=0.0
SC1,bounded01::share_taxi_gasoline,ok,min=0.0999999999999999 max=0.0999999999999999
SC1,bounded01::modal_share_car,ok,min=0.3675330289154041 max=0.6223295177807698
SC1,bounded01::modal_share_taxi,ok,min=0.1766651975940266 max=0.229930822
SC1,bounded01::modal_share_bus,ok,min=0.035682879821833 max=0.2061320912326127
SC1,bounded01::modal_share_metro,ok,min=0.0619129095226186 max=0.1133328141240865
SC1,bounded01::modal_share_motorcycle,ok,min=0.04589568366527 max=0.0832053387487339
SC1,bounded01::modal_share_other,ok,min=0.0320544678691583 max=0.0474294529999999
SC1,bounded01::modal_share_car_r12,ok,min=0.1571107415094187 max=0.2517150518192176
SC1,bounded01::modal_share_tax_r12,ok,min=0.1360005675012111 max=0.1881518045801198
SC1,bounded01::modal_share_bus_r12,ok,min=0.1000330329421634 max=0.3077962111469864
SC1,bounded01::modal_share_met_r12,ok,min=0.152 max=0.2517063498665917
SC1,bounded01::modal_share_mot_r12,ok,min=0.1592172390383228 max=0.2150089586063975
SC1,bounded01::modal_share_oth_r12,ok,min=0.054843717940288 max=0.064160049113083
SC1,bounded01::brt_share_of_bus,ok,min=0.4 max=0.55
