domain,domain_label,metric,role,unit,n,observed_mean,simulated_mean,mae,rmse,nrmse_percent,mape_percent,relative_bias_percent
energy_environment,Energy and environment,concentration_PM25_ugm3,endogenous historical reconstruction,µg/m³,9,30.231111111111115,30.217088254207177,1.560073203703404,1.7462297387893568,5.776267145363206,5.17438774593639,-0.04638551607447322
energy_environment,Energy and environment,concentration_NO2_ugm3,endogenous historical reconstruction,µg/m³,9,91.31160000000001,92.56552382910374,6.478123230354679,8.245468146826603,9.03003358480916,7.412548694053337,1.3732360719817958
energy_environment,Energy and environment,fuel_gasoline_litre_year,endogenous historical reconstruction,litre/year,9,4205269203.111111,4310384860.172861,159733476.59232098,223990428.66432717,5.326423062252857,3.79147996721063,2.4996177886539104
energy_environment,Energy and environment,fuel_CNG_kg_year,endogenous historical reconstruction,kg/year,9,615993043.52,617948950.5351374,16905092.510572486,19661108.10771688,3.1917743738413704,2.7710859120723175,0.3175209583472876
operational_shares,Operational shares,share_taxi_gasoline,fixed structural fuel-split expression,Fraction,9,0.1,0.0999999999999999,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-13,1.1102230246251565e-13,-1.1102230246251565e-13
operational_shares,Operational shares,share_taxi_CNG,fixed structural fuel-split expression,Fraction,9,0.8999999999999999,0.8999999999999999,0.0,0.0,0.0,0.0,0.0
speed,Service speeds,spd_mot,endogenous historical reconstruction,km/h,9,29.639333333333337,29.342617138567498,1.533471105449837,1.9785709124536706,6.675490606357555,4.952338545949895,-1.0010893005887556
speed,Service speeds,spd_car,endogenous historical reconstruction,km/h,9,26.027977777777778,24.39626596239423,1.8755839851897846,2.6173398530166123,10.055870937661743,6.785086714684136,-6.269068727946547
speed,Service speeds,spd_tax,endogenous historical reconstruction,km/h,9,25.277955555555554,22.55940770453398,2.7185478510215737,3.5309376688418053,13.968446384366636,10.162126267043778,-10.75461915836819
speed,Service speeds,spd_bus,endogenous historical reconstruction,km/h,9,21.428111111111107,19.403023047378085,2.0762743830046024,2.4695747642550407,11.52492980575639,9.349381014302041,-9.450613977276598
speed,Service speeds,spd_met,historical-series anchor,km/h,9,27.549344444444444,27.549344444444444,0.0,0.0,0.0,0.0,0.0
activity,Travel activity,trips_per_year,endogenous historical reconstruction,Trips/year,9,6853888888.888889,6781269249.200859,72619639.68802898,80071628.55033873,1.1682656350053473,1.049331403402711,-1.0595392027109682
activity,Travel activity,trips_bus_total,endogenous historical reconstruction,Trips/year,9,734388888.8888888,630040425.84638,112988781.06244159,151410620.4622734,20.61722647946835,13.38892750800217,-14.208883688366432
activity,Travel activity,trips_metro,endogenous historical reconstruction,Trips/year,9,653222222.2222222,651757474.3529681,3958578.557090534,5714359.89504799,0.8747956974899117,0.5806573506033531,-0.22423423751126265
activity,Travel activity,trips_per_person_per_day,empirical scalar anchor,Trips/person/day,9,2.0554666666666663,2.05,0.015822222222222307,0.018823743871327372,0.9157893035479717,0.7700941212457606,-0.26595744680851735
city_modal,Tehran modal shares,modal_share_car,endogenous historical reconstruction,share,9,0.4885286971111111,0.500921283522776,0.01420272827086819,0.018695638335791808,3.8269273527527634,3.3267584199206732,2.536716161189266
city_modal,Tehran modal shares,modal_share_taxi,endogenous historical reconstruction,share,9,0.19856164888888891,0.19768265742451177,0.001322616757149564,0.0016203052580256844,0.8160212544026437,0.6780696025689867,-0.4426793740361134
city_modal,Tehran modal shares,modal_share_bus,endogenous historical reconstruction,share,9,0.10891873511111111,0.09504202913692529,0.01582570474615992,0.021392143521307545,19.64046268025864,12.91701757667062,-12.740421526223004
city_modal,Tehran modal shares,modal_share_metro,endogenous historical reconstruction,share,9,0.09541961544444444,0.09691797983132872,0.0014983643868842652,0.0017506147068738897,1.8346486712610355,1.547945282374926,1.5702896934819954
city_modal,Tehran modal shares,modal_share_motorcycle,endogenous historical reconstruction,share,9,0.06431165177777778,0.06696196787893244,0.002938190855091777,0.0031237615706565616,4.857224910736851,4.955021069860275,4.121051205950295
