lambda,selected_sampler,selected_trial,selected_is_frozen,fit_loss,omega,regularized_objective,gap_vs_frozen,spd_car_history_calibration_factor,spd_bus_history_calibration_factor,congestion_multiplier_r12,alpha_delay_congestion_r12
0.0,TPE,1,False,0.0770554148985085,0.2824382533226565,0.0770554148985085,-0.005700986059453,0.9749080237694724,1.0901428612819832,3.190282861933176,1.0197316968394077
0.005,TPE,1,False,0.0770554148985085,0.2824382533226565,0.0784676061651217,-0.0042887947928397,0.9749080237694724,1.0901428612819832,3.190282861933176,1.0197316968394077
0.01,TPE,39,False,0.0781795076069521,0.1425128017470268,0.0796046356244223,-0.0031517653335391,1.0051709672181557,1.062717439896829,3.1591374880224614,0.9792378017239416
0.015,TPE,36,False,0.0787018559921017,0.1046054355341887,0.0802709375251145,-0.002485463432847,0.9811131397696728,1.0583183604040065,3.0997660361536754,0.9878649343256716
0.02,TPE,36,False,0.0787018559921017,0.1046054355341887,0.0807939647027854,-0.001962436255176,0.9811131397696728,1.0583183604040065,3.0997660361536754,0.9878649343256716
0.025,TPE,36,False,0.0787018559921017,0.1046054355341887,0.0813169918804564,-0.0014394090775051,0.9811131397696728,1.0583183604040065,3.0997660361536754,0.9878649343256716
0.03,TPE,36,False,0.0787018559921017,0.1046054355341887,0.0818400190581273,-0.0009163818998342,0.9811131397696728,1.0583183604040065,3.0997660361536754,0.9878649343256716
0.035,TPE,36,False,0.0787018559921017,0.1046054355341887,0.0823630462357982,-0.0003933547221632,0.9811131397696728,1.0583183604040065,3.0997660361536754,0.9878649343256716
0.04,TPE,0,True,0.0827564009579615,0.0,0.0827564009579615,-5.551115123125783e-17,1.0,1.0,3.04882125,1.0
0.05,TPE,0,True,0.0827564009579615,0.0,0.0827564009579615,-5.551115123125783e-17,1.0,1.0,3.04882125,1.0
0.075,TPE,0,True,0.0827564009579615,0.0,0.0827564009579615,-5.551115123125783e-17,1.0,1.0,3.04882125,1.0
0.1,TPE,0,True,0.0827564009579615,0.0,0.0827564009579615,-5.551115123125783e-17,1.0,1.0,3.04882125,1.0
