number,value,params_alpha_delay_congestion_r12,params_congestion_multiplier_r12,params_spd_bus_history_calibration_factor,params_spd_car_history_calibration_factor,user_attrs_component_activity,user_attrs_component_annual_distance,user_attrs_component_city_modal,user_attrs_component_energy_environment,user_attrs_component_operational_shares,user_attrs_component_r12_modal,user_attrs_component_speed,user_attrs_fit_loss,user_attrs_omega,user_attrs_stability,state,study_file
0,0.0827564009579615,1.0,3.04882125,1.0,1.0,0.0415882358075321,0.1286575559768246,0.0725542943285861,0.0932750171821726,3.193111471854626e-17,0.1083442270724203,0.0932110193436026,0.0827564009579615,0.0,0.0,COMPLETE,random_seed101
1,0.0962330664338949,0.9343043312450208,2.761301690352747,1.014133517373628,1.0032797255404893,0.0415882358075321,0.1286575559768246,0.0725542943285861,0.0932750171821726,3.193111471854626e-17,0.1093953532862759,0.0911508984687707,0.0828131704239422,0.3354974002488178,0.0,COMPLETE,random_seed101
2,0.0920994064790708,1.0787226159366796,2.931116151713778,1.0667793725272154,1.0370553963394626,0.0375481362430353,0.1289043986953523,0.0646571488205614,0.0888755648886805,3.193111471854626e-17,0.1089945138166695,0.0840194621953952,0.0785790876122485,0.3380079716705575,0.0,COMPLETE,random_seed101
3,0.0899687479011251,0.9704263908053228,3.0818872964315127,0.9379877908409594,1.044308772353661,0.0415792121737183,0.12865688922454,0.0725663675869751,0.0933895913271717,3.193111471854626e-17,0.1074562027418387,0.0993457754325783,0.0831677428824846,0.1700251254660132,0.0,COMPLETE,random_seed101
4,0.097971097213488,0.9464707323629522,3.332656278001618,1.0571203523728718,0.9363784805320158,0.0375545986037618,0.1294619557421398,0.0645598007040263,0.08943940951955,3.193111471854626e-17,0.1046140825656558,0.0996236718319443,0.0791282971112319,0.4710700025564018,0.0,COMPLETE,random_seed101
5,0.0949869374020191,0.9552477656994526,3.1884528469029165,1.0207096844582435,0.9167122867326688,0.0415882358075321,0.1286575559768246,0.0725542943285861,0.0932750171821726,3.193111471854626e-17,0.1059475057628728,0.1068481470364501,0.0835209333998594,0.2866501000539933,0.0,COMPLETE,random_seed101
6,0.0974207042088578,0.9275738475124212,2.773503262600406,1.0035734948394095,1.0370612657560356,0.0415882358075321,0.1286575559768246,0.0725542943285861,0.0932750171821726,3.193111471854626e-17,0.1093913844167656,0.0893711248248735,0.0826342008421749,0.3696625841670714,0.0,COMPLETE,random_seed101
7,0.0936735859109744,1.0157579070950835,3.061422270110562,1.0988635802308195,0.9373934852275844,0.036291252492311,0.1288148229697658,0.0665761243019351,0.0862157547063963,3.193111471854626e-17,0.107963431712103,0.0974868391986168,0.0797146087421468,0.3489744292206892,0.0,COMPLETE,random_seed101
8,0.0942300513773995,1.0615840301975834,3.300747519230997,1.0083923544459188,1.0469638116538764,0.0415882358075321,0.1286575559768246,0.0725542943285861,0.0932750171821726,3.193111471854626e-17,0.1046140825656558,0.0883082999810004,0.0813335928950102,0.3224114620597345,0.0,COMPLETE,random_seed101
9,0.0928559521435649,0.968726315578512,3.32496928028814,0.9714448685641576,0.9805995661387577,0.0415882341659723,0.1286575556877622,0.0725543042814435,0.0932750746103995,3.193111471854626e-17,0.1046140825656558,0.0997946937346258,0.0824822436918548,0.2593427112927512,0.0,COMPLETE,random_seed101
