geo,scenario,best_rank,worst_rank,mean_rank,n_first
Region12,SC1,7,7,7.0,0
Region12,SC10,2,2,2.0,0
Region12,SC11,3,3,3.0,0
Region12,SC2,9,9,9.0,0
Region12,SC3,10,10,10.0,0
Region12,SC4,6,6,6.0,0
Region12,SC5,8,8,8.0,0
Region12,SC6,5,5,5.0,0
Region12,SC7,11,11,11.0,0
Region12,SC8,1,1,1.0,4
Region12,SC9,4,4,4.0,0
Tehran,SC1,7,7,7.0,0
Tehran,SC10,3,3,3.0,0
Tehran,SC11,2,2,2.0,0
Tehran,SC2,9,9,9.0,0
Tehran,SC3,11,11,11.0,0
Tehran,SC4,8,8,8.0,0
Tehran,SC5,6,6,6.0,0
Tehran,SC6,5,5,5.0,0
Tehran,SC7,10,10,10.0,0
Tehran,SC8,1,1,1.0,4
Tehran,SC9,4,4,4.0,0
