stress_variant,geo,scenario,win_probability
demand_high,Region12,SC1,0.04175
demand_high,Region12,SC10,0.293605
demand_high,Region12,SC11,0.0
demand_high,Region12,SC2,0.008435
demand_high,Region12,SC3,7.5e-05
demand_high,Region12,SC4,0.0
demand_high,Region12,SC5,0.0
demand_high,Region12,SC6,0.05482
demand_high,Region12,SC7,0.0
demand_high,Region12,SC8,0.601315
demand_high,Region12,SC9,0.0
demand_high,Tehran,SC1,0.05629
demand_high,Tehran,SC10,0.0
demand_high,Tehran,SC11,0.009725
demand_high,Tehran,SC2,0.0
demand_high,Tehran,SC3,0.0
demand_high,Tehran,SC4,0.0
demand_high,Tehran,SC5,0.0
demand_high,Tehran,SC6,0.0
demand_high,Tehran,SC7,0.0
demand_high,Tehran,SC8,0.933985
demand_high,Tehran,SC9,0.0
demand_low,Region12,SC1,0.03743
demand_low,Region12,SC10,0.29475
demand_low,Region12,SC11,0.0
demand_low,Region12,SC2,0.008595
demand_low,Region12,SC3,0.000335
demand_low,Region12,SC4,0.0
demand_low,Region12,SC5,0.0
demand_low,Region12,SC6,0.058265
demand_low,Region12,SC7,0.0
demand_low,Region12,SC8,0.600625
demand_low,Region12,SC9,0.0
demand_low,Tehran,SC1,0.057095
demand_low,Tehran,SC10,0.0
demand_low,Tehran,SC11,0.00955
demand_low,Tehran,SC2,0.0
demand_low,Tehran,SC3,0.0
demand_low,Tehran,SC4,0.0
demand_low,Tehran,SC5,0.0
demand_low,Tehran,SC6,0.0
demand_low,Tehran,SC7,0.0
demand_low,Tehran,SC8,0.933355
demand_low,Tehran,SC9,0.0
fiscal_adverse,Region12,SC1,0.04291
fiscal_adverse,Region12,SC10,0.29703
fiscal_adverse,Region12,SC11,0.0
fiscal_adverse,Region12,SC2,0.00647
fiscal_adverse,Region12,SC3,0.00141
fiscal_adverse,Region12,SC4,0.0
fiscal_adverse,Region12,SC5,0.0
fiscal_adverse,Region12,SC6,0.05578
fiscal_adverse,Region12,SC7,0.0
fiscal_adverse,Region12,SC8,0.5964
fiscal_adverse,Region12,SC9,0.0
fiscal_adverse,Tehran,SC1,0.058235
fiscal_adverse,Tehran,SC10,0.0
fiscal_adverse,Tehran,SC11,0.010215
fiscal_adverse,Tehran,SC2,0.0
fiscal_adverse,Tehran,SC3,0.0
fiscal_adverse,Tehran,SC4,0.0
fiscal_adverse,Tehran,SC5,0.0
fiscal_adverse,Tehran,SC6,0.0
fiscal_adverse,Tehran,SC7,0.0
fiscal_adverse,Tehran,SC8,0.93155
fiscal_adverse,Tehran,SC9,0.0
fiscal_favorable,Region12,SC1,0.03154
fiscal_favorable,Region12,SC10,0.289385
fiscal_favorable,Region12,SC11,0.0
fiscal_favorable,Region12,SC2,0.01351
fiscal_favorable,Region12,SC3,0.0
fiscal_favorable,Region12,SC4,0.0
fiscal_favorable,Region12,SC5,0.0
fiscal_favorable,Region12,SC6,0.057175
fiscal_favorable,Region12,SC7,0.0
fiscal_favorable,Region12,SC8,0.60839
fiscal_favorable,Region12,SC9,0.0
fiscal_favorable,Tehran,SC1,0.054
fiscal_favorable,Tehran,SC10,0.0
fiscal_favorable,Tehran,SC11,0.00942
fiscal_favorable,Tehran,SC2,0.0
fiscal_favorable,Tehran,SC3,0.0
fiscal_favorable,Tehran,SC4,0.0
fiscal_favorable,Tehran,SC5,0.0
fiscal_favorable,Tehran,SC6,0.0
fiscal_favorable,Tehran,SC7,0.0
fiscal_favorable,Tehran,SC8,0.93658
fiscal_favorable,Tehran,SC9,0.0
