geo,kpi,hard_mean,hard_2030,standard_mean,sc0_mean,standard_2030,sc0_2030,hard_vs_standard_mean_pct,standard_vs_sc0_mean_pct,hard_vs_sc0_mean_pct,hard_vs_standard_2030_pct,standard_vs_sc0_2030_pct,hard_vs_sc0_2030_pct
Tehran,CO₂ emissions,15994784.443073409,16196459.5686244,15995133.736098286,16947088.562174026,16197982.596573336,17612792.73894355,-0.002183745573125506,-5.617217509563899,-5.619278589398324,-0.009402578005357487,-8.032855228245184,-8.041502510771647
Tehran,Climate cost,239921766646101.1,242946893529366.0,239927006041474.25,254206328432610.4,242969738948600.03,264191891084153.25,-0.002183745573125506,-5.617217509563921,-5.619278589398347,-0.009402578005346385,-8.032855228245184,-8.041502510771636
Tehran,Congestion index,0.3770174298624062,0.3784390921412452,0.37698799073119516,0.3998476201608777,0.3782491426618345,0.4099179885373706,0.007809036875139341,-5.717085278758205,-5.709722691180663,0.05021808590865984,-7.7256540969411365,-7.679315686643884
Tehran,Electricity use,1625764482.1209724,1908114238.3596764,1627900987.0920346,1218611645.4225569,1920972553.0112927,1401781954.77345,-0.13124293111208551,33.58652801381654,33.41120513888034,-0.6693648293651933,37.037899972235856,36.12061646692104
Tehran,Energy: CNG,27772087188.638546,27440816949.56181,27767030672.26169,29972944175.7229,27409946178.021492,31187928883.34365,0.018210504524374116,-7.359682420681013,-7.342812151456835,0.11262616620921762,-12.113605617908929,-12.014622541296859
Tehran,Energy: diesel,1765084038.5533698,1851178374.8057013,1767256152.998155,1103410886.141622,1864166744.6307118,1127488799.702378,-0.12290886304741067,60.163015898624096,59.96616135676065,-0.6967386293324052,65.33793906625004,64.1859657758334
Tehran,Energy: gasoline,199138742976.09146,200006698832.42874,199128401749.95255,215441202621.88013,199936330691.0559,222791457989.28656,0.005193245186552176,-7.571811089709756,-7.567011067238161,0.03519527498059283,-10.258529435778318,-10.226944678441608
Tehran,Final energy,234528666338.91888,236167905414.89108,234523132128.74374,250904559607.2659,236125944804.5488,260153290709.51697,0.0023597715606671343,-6.5289477019323865,-6.526741998622809,0.017770436186936855,-9.235841622236762,-9.219712435391635
Tehran,Health indicator,1.1578647805438166e+16,1.1938930927340416e+16,1.1578596924920028e+16,1.2068947218656562e+16,1.1938419454447392e+16,1.2719895394156746e+16,0.0004394359564230399,-4.062908593870851,-4.062487011795657,0.0042842596959857815,-6.143729295669742,-6.139708249291809
Tehran,Modal share: car,0.5199546619689828,0.5116578545187592,0.519799423987172,0.5718422086130328,0.5107255866807752,0.5719353527432628,0.02986497765233853,-9.100899486256397,-9.073752490201803,0.18253791513420659,-10.702217614088315,-10.539215303859994
Tehran,Modal share: public transport,0.17642670067839847,0.1832536953793617,0.1766736851618171,0.12224080237775069,0.1847374885392131,0.122537237362431,-0.13979698402307728,44.5292256965534,44.32717819799772,-0.8031900680172122,50.76028521257672,49.54939357523489
Tehran,Municipal budget,3226958546677714.5,5692470554493519.0,3226958546677714.5,3226958546677714.5,5692470554493519.0,5692470554493519.0,0.0,0.0,0.0,0.0,0.0,0.0
Tehran,NOₓ emissions,59165.92630056493,58689.17621865941,59164.87654864846,64233.33722408333,58680.68496594988,66552.92108043148,0.0017742822730371088,-7.89070114441216,-7.8890668654507445,0.01447026856360445,-11.828535827853049,-11.815777180190878
Tehran,Non-public transport trips,6304066901.425596,6481527450.7316265,6302110252.914579,6718216939.975172,6469752914.14236,6957601067.428314,0.031047513174042862,-6.193707210981048,-6.164582689869292,0.1819936054053617,-7.011729309543102,-6.842496603109427
Tehran,PM₂.₅ emissions,1043.1256464052417,1015.3126818142727,1043.1829791035955,1152.854905384204,1015.6283843284539,1199.0403294278283,-0.005495938823985025,-9.51307278725234,-9.51804589341566,-0.031084451660923218,-15.296561808467024,-15.322891407766814
Tehran,Population,10232360.7830484,10605800.681520903,10232360.853982698,10228725.477084637,10605801.558319507,10597028.517119344,-6.932349139177063e-07,0.035540858987825885,0.035540165506531274,-8.267160189756595e-06,0.08278774739531869,0.08277947339094816
Tehran,Public transport trips,1352297054.4903684,1454262909.2163887,1354253756.0779727,935426898.2534066,1466038101.8702128,971625520.5062345,-0.1444855942855927,44.773873683404176,44.564696291642434,-0.8031982687764061,50.88509625667101,49.67318977569582
Tehran,Time loss (car),780074370.308629,793836085.5559189,779961706.3698405,911363560.0586443,793090038.2957267,980743688.4032822,0.014444803875424128,-14.418159716672053,-14.40579758769015,0.09406841899004537,-19.13381164991931,-19.057742105040877
Tehran,Trips total (effective),7656363955.915963,7935790359.948015,7656364008.992554,7653643838.228579,7935791016.012572,7929226587.934548,-6.932349361221668e-07,0.035540858987825885,0.03554016550650907,-8.267160211961055e-06,0.0827877473953409,0.08277947339094816
Tehran,PCE-weighted VKT,67415996004.462135,68769125101.17493,67410649870.29737,71508803483.07693,68734607896.73236,74489401386.75516,0.007930696670399584,-5.7309777442289604,-5.723501554019695,0.05021808590865984,-7.72565409694116,-7.679315686643906
Region 12,CO₂ emissions,223857.99631112503,225339.47305361956,223873.40558814988,229418.01787762457,225423.9336308596,233634.40034884523,-0.0068830314991497055,-2.4168164038590345,-2.4235330851238412,-0.037467440071536906,-3.514237075416282,-3.550387820817613
Region 12,Climate cost,3357869944666.875,3380092095804.2935,3358101083822.2485,3441270268164.368,3381359004462.893,3504516005232.678,-0.00688303149917191,-2.4168164038590123,-2.42353308512383,-0.0374674400715036,-3.5142370754163044,-3.550387820817613
Region 12,Congestion index,1.1494587517848889,1.1537931459509365,1.1493689971360708,1.2190639211084127,1.1532140239416826,1.249766674209992,0.007809036875161546,-5.717085278758227,-5.709722691180663,0.05021808590868204,-7.725654096941148,-7.679315686643884
Region 12,Electricity use,83867875.565488,86581620.307396,83957009.91290312,72170611.47236809,87116696.02099542,73590342.86835201,-0.10616665303777584,16.3312991258882,16.207794079170903,-0.6142057011327307,18.3806089568588,17.653508507610116
Region 12,Energy: CNG,426987434.40911615,418445938.018665,426781891.1868237,486418161.47849685,417208233.6411075,501503188.2790847,0.048161186436668224,-12.260288577713697,-12.218032091716612,0.2966634590970685,-16.808458372365788,-16.561659467297062
Region 12,Energy: diesel,81037837.77874856,80556227.68464592,81103947.25966497,78883814.6890737,80951687.07146773,82789709.53694084,-0.081512038747944,2.814433581010367,2.7306274400713315,-0.4885128415825113,-2.2201098128662777,-2.697777132915702
Region 12,Energy: gasoline,2200346491.210695,2207632684.985584,2199948235.593493,2331733427.191609,2205127437.416519,2366298630.599586,0.018102954004017846,-5.651812083718378,-5.634732274656262,0.11361010373167613,-6.81110959956176,-6.7052376045114155
Region 12,Final energy,3010296115.434316,3018328683.7955203,3010079309.726433,3156849604.6597047,3016907463.804678,3215516762.741679,0.007202657656990574,-4.649264720011681,-4.642396932976045,0.047108504582693556,-6.1765903769588455,-6.132391571736928
Region 12,Health indicator,365735558684365.3,361850832299952.1,365725891704200.9,386949292159077.94,361785795037627.8,395695739484167.6,0.0026432310054280705,-5.484801467514233,-5.482303212481776,0.017976731871827134,-8.56970168310256,-8.553265503524498
Region 12,Modal share: car,0.2008294960378539,0.19812890153253204,0.20073693559459654,0.21258791141201192,0.1975703005607799,0.2108869508831757,0.04611031994843362,-5.574623570409543,-5.531083727225338,0.28273529481233073,-6.314591901787592,-6.049710187004975
Region 12,Modal share: public transport,0.38913122839641695,0.38673158882479686,0.389415613998641,0.3469776162014552,0.38844902338716597,0.34329626366188504,-0.07302881343248524,12.230759511745081,12.148798719767395,-0.44212611152772974,13.152709337306456,12.652431663425157
Region 12,Municipal budget,25492972518753.945,44970517380498.805,25492972518753.945,25492972518753.945,44970517380498.805,44970517380498.805,0.0,0.0,0.0,0.0,0.0,0.0
Region 12,NOₓ emissions,790.8759064068661,748.5298511299451,790.8247207795426,889.5946006566675,748.2002787418152,908.7387510586456,0.006472436429771911,-11.102796690112148,-11.097042875140062,0.04404868555838437,-17.666075330210063,-17.629808318624384
Region 12,Non-public transport trips,189047433.7889479,194731153.4410172,188957239.21514907,202109598.22228363,194185816.3468585,208523174.7076124,0.04773279614660453,-6.507538050058049,-6.46291148378304,0.2808326088989954,-6.875666640342248,-6.614143145448514
Region 12,PM₂.₅ emissions,23.36502879044855,20.739817512920215,23.364261351228805,29.054050331345394,20.735358992106192,29.94198201622716,0.003284671439907072,-19.583462254755148,-19.58082083570688,0.021502018921970567,-30.748208382235376,-30.73331784889791
Region 12,Population,247791.92857142843,249861.99999999953,247791.92857142843,247791.92857142843,249861.9999999996,249861.9999999996,0.0,0.0,0.0,-2.220446049250313e-14,0.0,-2.220446049250313e-14
Region 12,Public transport trips,120421715.09882835,122798903.37024897,120511909.67262724,107359550.66549264,123344240.46440768,109006882.10365377,-0.07484287158332492,12.250758247036897,12.166746556190766,-0.44212611152774084,13.152709337306456,12.652431663425133
Region 12,Time loss (car),54634416.3693764,55625920.59815365,54601855.752704866,63340245.04057302,55426341.06649263,66990552.73804738,0.05963280226042311,-13.79595118754391,-13.744545297575094,0.3600806544700408,-17.262451493383235,-16.96452958722815
Region 12,Trips total (effective),309469148.88777626,317530056.8112662,309469148.88777626,309469148.88777626,317530056.8112662,317530056.8112662,0.0,0.0,0.0,0.0,0.0,0.0
Region 12,PCE-weighted VKT,950480980.2567915,972433705.005671,950194708.6590669,999325997.7726595,970681495.4366394,1024877151.3236004,0.03012767752923473,-4.91644260462537,-4.887796137069977,0.18051333802788783,-5.288014843239386,-5.117047077320446
