configuration,scenario,geo,metric,mean_2024_2030,value_2030,base_mean,base_2030,delta_mean_pct,delta_2030_pct
policy_mediation_active,SC0,Tehran,Modal share: public transport,0.12224080237775077,0.12253723736243113,0.12224080237775077,0.12253723736243113,0.0,0.0
policy_mediation_active,SC0,Tehran,Modal share: car,0.5718422086130328,0.5719353527432628,0.5718422086130328,0.5719353527432628,0.0,0.0
policy_mediation_active,SC0,Tehran,Time loss (car),911363560.0586444,980743688.4032823,911363560.0586444,980743688.4032823,0.0,0.0
policy_mediation_active,SC0,Tehran,PCE-weighted VKT,71508803483.07693,74489401386.75516,71508803483.07693,74489401386.75516,0.0,0.0
policy_mediation_active,SC0,Region 12,Modal share: public transport,0.34697761620145534,0.3432962636618851,0.34697761620145534,0.3432962636618851,0.0,0.0
policy_mediation_active,SC0,Region 12,Modal share: car,0.21258791141201192,0.21088695088317574,0.21258791141201192,0.21088695088317574,0.0,0.0
policy_mediation_active,SC0,Region 12,Time loss (car),63340245.04057304,66990552.73804739,63340245.04057304,66990552.73804739,0.0,0.0
policy_mediation_active,SC0,Region 12,PCE-weighted VKT,999325997.7726595,1024877151.3236003,999325997.7726595,1024877151.3236003,0.0,0.0
policy_mediation_active,SC2,Tehran,Modal share: public transport,0.12580878349488364,0.1292217010654058,0.12224080237775077,0.12253723736243113,2.9188135612093102,5.455046846864886
policy_mediation_active,SC2,Tehran,Modal share: car,0.5637949662306758,0.5537738930598006,0.5718422086130328,0.5719353527432628,-1.4072487586873073,-3.1754392513684504
policy_mediation_active,SC2,Tehran,Time loss (car),895952242.6553906,942821866.7737167,911363560.0586444,980743688.4032823,-1.6910175125130156,-3.866639375605352
policy_mediation_active,SC2,Tehran,PCE-weighted VKT,71143575897.55966,73585761694.88927,71508803483.07693,74489401386.75516,-0.5107449261176678,-1.2131117649531342
policy_mediation_active,SC2,Region 12,Modal share: public transport,0.35113034355079736,0.35276275300693327,0.34697761620145534,0.3432962636618851,1.1968286008775086,2.7575276363542844
policy_mediation_active,SC2,Region 12,Modal share: car,0.20735832123255143,0.19946827891652452,0.21258791141201192,0.21088695088317574,-2.459965924085461,-5.414593894421083
policy_mediation_active,SC2,Region 12,Time loss (car),61214659.38179691,62157832.4041579,63340245.04057304,66990552.73804739,-3.355821654012492,-7.214032630521561
policy_mediation_active,SC2,Region 12,PCE-weighted VKT,992447203.624354,1005162819.6839328,999325997.7726595,1024877151.3236003,-0.6883433597882238,-1.9235799738736459
policy_mediation_active,SC5,Tehran,Modal share: public transport,0.16294229507291794,0.17129608110912162,0.12224080237775077,0.12253723736243113,33.296159632027496,39.79104213234004
policy_mediation_active,SC5,Tehran,Modal share: car,0.5287772643418889,0.5198568176433137,0.5718422086130328,0.5719353527432628,-7.530913881924739,-9.10566812318152
policy_mediation_active,SC5,Tehran,Time loss (car),805046828.6879815,821710419.3931628,911363560.0586444,980743688.4032823,-11.665677236845163,-16.215579145764014
policy_mediation_active,SC5,Tehran,PCE-weighted VKT,68332218552.91417,69763860383.57434,71508803483.07693,74489401386.75516,-4.442229173803092,-6.343910563390642
policy_mediation_active,SC5,Region 12,Modal share: public transport,0.3667660524728844,0.36570426632120684,0.34697761620145534,0.3432962636618851,5.703087273485652,6.527307469151933
policy_mediation_active,SC5,Region 12,Modal share: car,0.20808310389242618,0.20621873481839767,0.21258791141201192,0.21088695088317574,-2.119032775506724,-2.2136106787205234
policy_mediation_active,SC5,Region 12,Time loss (car),57793485.677405514,59189792.82364064,63340245.04057304,66990552.73804739,-8.757085419569355,-11.644567174882104
policy_mediation_active,SC5,Region 12,PCE-weighted VKT,979455683.43617,1002522890.2038081,999325997.7726595,1024877151.3236003,-1.9883716005364982,-2.181164941663727
policy_mediation_active,SC8,Tehran,Modal share: public transport,0.16476764340729202,0.17299182290675263,0.12224080237775077,0.12253723736243113,34.78939944955861,41.174900487670406
policy_mediation_active,SC8,Tehran,Modal share: car,0.5235286193809362,0.511648890830073,0.5718422086130328,0.5719353527432628,-8.448762351642102,-10.54078255943235
policy_mediation_active,SC8,Tehran,Time loss (car),762293515.1203786,741934027.0290359,911363560.0586444,980743688.4032823,-16.356814280425414,-24.349854523463186
policy_mediation_active,SC8,Tehran,PCE-weighted VKT,66845968661.01182,66954099658.40975,71508803483.07693,74489401386.75516,-6.520644445083756,-10.115938090603649
policy_mediation_active,SC8,Region 12,Modal share: public transport,0.37559616638331966,0.37535025606753103,0.34697761620145534,0.3432962636618851,8.247952849283614,9.33712242123792
policy_mediation_active,SC8,Region 12,Modal share: car,0.20107564209967796,0.19537439515375585,0.21258791141201192,0.21088695088317574,-5.41529818693326,-7.355863254912021
policy_mediation_active,SC8,Region 12,Time loss (car),54013698.18140161,52649768.6495418,63340245.04057304,66990552.73804739,-14.724519700227312,-21.407173851188
policy_mediation_active,SC8,Region 12,PCE-weighted VKT,943530577.4452173,941984272.0789826,999325997.7726595,1024877151.3236003,-5.58330519288015,-8.08807954568641
policy_mediation_active,SC10,Tehran,Modal share: public transport,0.1766736851618172,0.18473748853921323,0.12224080237775077,0.12253723736243113,44.529225696553375,50.760285212576676
policy_mediation_active,SC10,Tehran,Modal share: car,0.519799423987172,0.5107255866807752,0.5718422086130328,0.5719353527432628,-9.100899486256397,-10.702217614088315
policy_mediation_active,SC10,Tehran,Time loss (car),779961706.3698405,793090038.2957267,911363560.0586444,980743688.4032823,-14.418159716672063,-19.13381164991932
policy_mediation_active,SC10,Tehran,PCE-weighted VKT,67410649870.29737,68734607896.73236,71508803483.07693,74489401386.75516,-5.7309777442289604,-7.72565409694116
policy_mediation_active,SC10,Region 12,Modal share: public transport,0.38941561399864105,0.388449023387166,0.34697761620145534,0.3432962636618851,12.230759511745038,13.152709337306456
policy_mediation_active,SC10,Region 12,Modal share: car,0.20073693559459663,0.19757030056077998,0.21258791141201192,0.21088695088317574,-5.574623570409498,-6.314591901787581
policy_mediation_active,SC10,Region 12,Time loss (car),54601855.75270488,55426341.066492654,63340245.04057304,66990552.73804739,-13.79595118754391,-17.262451493383224
policy_mediation_active,SC10,Region 12,PCE-weighted VKT,950194708.6590669,970681495.4366394,999325997.7726595,1024877151.3236003,-4.91644260462537,-5.288014843239375
policy_response_coefficients_zero,SC0,Tehran,Modal share: public transport,0.1317522560098384,0.1320901837853754,0.1317522560098384,0.1320901837853754,0.0,0.0
policy_response_coefficients_zero,SC0,Tehran,Modal share: car,0.5656286380130957,0.5656912138064932,0.5656286380130957,0.5656912138064932,0.0,0.0
policy_response_coefficients_zero,SC0,Tehran,Time loss (car),891913826.489987,957338855.6532738,891913826.489987,957338855.6532738,0.0,0.0
policy_response_coefficients_zero,SC0,Tehran,PCE-weighted VKT,70845613818.17816,73717830364.25584,70845613818.17816,73717830364.25584,0.0,0.0
policy_response_coefficients_zero,SC0,Region 12,Modal share: public transport,0.3650267937912037,0.362370000483197,0.3650267937912037,0.362370000483197,0.0,0.0
policy_response_coefficients_zero,SC0,Region 12,Modal share: car,0.2066571813841079,0.20474204831943993,0.2066571813841079,0.20474204831943993,0.0,0.0
policy_response_coefficients_zero,SC0,Region 12,Time loss (car),60682514.76698208,63994521.018510446,60682514.76698208,63994521.018510446,0.0,0.0
policy_response_coefficients_zero,SC0,Region 12,PCE-weighted VKT,974390513.9136971,996600410.9921092,974390513.9136971,996600410.9921092,0.0,0.0
policy_response_coefficients_zero,SC2,Tehran,Modal share: public transport,0.13172903248947945,0.13135227233195212,0.1317522560098384,0.1320901837853754,-0.017626658595659705,-0.5586421581654122
policy_response_coefficients_zero,SC2,Tehran,Modal share: car,0.565209096830251,0.5631699336045846,0.5656286380130957,0.5656912138064932,-0.07417254973483,-0.44569902101593284
policy_response_coefficients_zero,SC2,Tehran,Time loss (car),891804381.5671346,959299527.0394706,891913826.489987,957338855.6532738,-0.012270795630908715,0.20480432551321925
policy_response_coefficients_zero,SC2,Tehran,PCE-weighted VKT,70859315866.73952,73846426875.9166,70845613818.17816,73717830364.25584,0.019340715427373922,0.1744442437132676
policy_response_coefficients_zero,SC2,Region 12,Modal share: public transport,0.3651366401778242,0.36310638008938745,0.3650267937912037,0.362370000483197,0.03009269141032167,0.2032120774922097
policy_response_coefficients_zero,SC2,Region 12,Modal share: car,0.2066266881320614,0.2045153930120973,0.2066571813841079,0.20474204831943993,-0.014755476602501538,-0.11070286206621427
policy_response_coefficients_zero,SC2,Region 12,Time loss (car),60671777.636038564,64081518.40706546,60682514.76698208,63994521.018510446,-0.017693945257124533,0.13594505774932042
policy_response_coefficients_zero,SC2,Region 12,PCE-weighted VKT,974339413.5536455,996253439.8752998,974390513.9136971,996600410.9921092,-0.00524434087996184,-0.034815469969950996
policy_response_coefficients_zero,SC5,Tehran,Modal share: public transport,0.15877577017725628,0.16536361159253,0.1317522560098384,0.1320901837853754,20.510854983310445,25.189932252057723
policy_response_coefficients_zero,SC5,Tehran,Modal share: car,0.531408540451446,0.5235891251115184,0.5656286380130957,0.5656912138064932,-6.049923087673892,-7.4425919419311874
policy_response_coefficients_zero,SC5,Tehran,Time loss (car),812207555.1027881,834436346.9971726,891913826.489987,957338855.6532738,-8.936543982154955,-12.83793172400115
policy_response_coefficients_zero,SC5,Tehran,PCE-weighted VKT,68594351769.71041,70220231283.0734,70845613818.17816,73717830364.25584,-3.1777013807029797,-4.744576805774193
policy_response_coefficients_zero,SC5,Region 12,Modal share: public transport,0.36053083511084616,0.35639026100278226,0.3650267937912037,0.362370000483197,-1.2316790868040273,-1.650175089671091
policy_response_coefficients_zero,SC5,Region 12,Modal share: car,0.21013115208203473,0.20924462351796916,0.2066571813841079,0.20474204831943993,1.6810307169871974,2.1991453321323906
policy_response_coefficients_zero,SC5,Region 12,Time loss (car),58711697.01804324,60664432.75830904,60682514.76698208,63994521.018510446,-3.2477522668707515,-5.203708391282714
policy_response_coefficients_zero,SC5,Region 12,PCE-weighted VKT,987582323.7388391,1015795195.1158999,974390513.9136971,996600410.9921092,1.353852447942705,1.9260261095700892
policy_response_coefficients_zero,SC8,Tehran,Modal share: public transport,0.15649378009479514,0.16255548605211606,0.1317522560098384,0.1320901837853754,18.778823857945337,23.06401686611452
policy_response_coefficients_zero,SC8,Tehran,Modal share: car,0.5312162895923268,0.5233665425250715,0.5656286380130957,0.5656912138064932,-6.083911971227341,-7.481938953342093
policy_response_coefficients_zero,SC8,Tehran,Time loss (car),778594236.3175783,767153504.4580239,891913826.489987,957338855.6532738,-12.705217343514397,-19.86604325857747
policy_response_coefficients_zero,SC8,Tehran,PCE-weighted VKT,67377946227.195015,67753153581.70427,70845613818.17816,73717830364.25584,-4.894682118052851,-8.091226712830268
policy_response_coefficients_zero,SC8,Region 12,Modal share: public transport,0.3650267937912037,0.362370000483197,0.3650267937912037,0.362370000483197,0.0,0.0
policy_response_coefficients_zero,SC8,Region 12,Modal share: car,0.2066571813841079,0.20474204831943993,0.2066571813841079,0.20474204831943993,0.0,0.0
policy_response_coefficients_zero,SC8,Region 12,Time loss (car),56179813.492670774,56185161.37544146,60682514.76698208,63994521.018510446,-7.420096697708489,-12.203169144449289
policy_response_coefficients_zero,SC8,Region 12,PCE-weighted VKT,955087603.3267838,959227895.5799052,974390513.9136971,996600410.9921092,-1.98102406697106,-3.749999999999998
policy_response_coefficients_zero,SC10,Tehran,Modal share: public transport,0.15877577017725628,0.16536361159253,0.1317522560098384,0.1320901837853754,20.510854983310445,25.189932252057723
policy_response_coefficients_zero,SC10,Tehran,Modal share: car,0.531408540451446,0.5235891251115184,0.5656286380130957,0.5656912138064932,-6.049923087673892,-7.4425919419311874
policy_response_coefficients_zero,SC10,Tehran,Time loss (car),812411039.0171872,834943915.6961648,891913826.489987,957338855.6532738,-8.913729680105176,-12.7849130153177
policy_response_coefficients_zero,SC10,Tehran,PCE-weighted VKT,68601909493.626526,70238972321.40385,70845613818.17816,73717830364.25584,-3.1670335023280205,-4.71915413904912
policy_response_coefficients_zero,SC10,Region 12,Modal share: public transport,0.36053083511084616,0.35639026100278226,0.3650267937912037,0.362370000483197,-1.2316790868040273,-1.650175089671091
policy_response_coefficients_zero,SC10,Region 12,Modal share: car,0.21013115208203473,0.20924462351796916,0.2066571813841079,0.20474204831943993,1.6810307169871974,2.1991453321323906
policy_response_coefficients_zero,SC10,Region 12,Time loss (car),58721698.49386692,60689383.21981593,60682514.76698208,63994521.018510446,-3.2312706232505373,-5.16471995741401
policy_response_coefficients_zero,SC10,Region 12,PCE-weighted VKT,987582323.7388391,1015795195.1158999,974390513.9136971,996600410.9921092,1.353852447942705,1.9260261095700892
