scenario,geo,metric,policy_mediation_active,policy_response_coefficients_zero,mediation_contribution_pp
SC10,Region 12,Modal share: car,-5.574623570409498,1.6810307169871974,-7.255654287396696
SC10,Region 12,Modal share: public transport,12.230759511745038,-1.2316790868040273,13.462438598549065
SC10,Region 12,Time loss (car),-13.79595118754391,-3.2312706232505373,-10.564680564293372
SC10,Region 12,PCE-weighted VKT,-4.91644260462537,1.353852447942705,-6.270295052568075
SC10,Tehran,Modal share: car,-9.100899486256397,-6.049923087673892,-3.050976398582505
SC10,Tehran,Modal share: public transport,44.529225696553375,20.510854983310445,24.01837071324293
SC10,Tehran,Time loss (car),-14.418159716672063,-8.913729680105176,-5.5044300365668875
SC10,Tehran,PCE-weighted VKT,-5.7309777442289604,-3.1670335023280205,-2.56394424190094
SC2,Region 12,Modal share: car,-2.459965924085461,-0.014755476602501538,-2.4452104474829595
SC2,Region 12,Modal share: public transport,1.1968286008775086,0.03009269141032167,1.166735909467187
SC2,Region 12,Time loss (car),-3.355821654012492,-0.017693945257124533,-3.3381277087553674
SC2,Region 12,PCE-weighted VKT,-0.6883433597882238,-0.00524434087996184,-0.683099018908262
SC2,Tehran,Modal share: car,-1.4072487586873073,-0.07417254973483,-1.3330762089524772
SC2,Tehran,Modal share: public transport,2.9188135612093102,-0.017626658595659705,2.93644021980497
SC2,Tehran,Time loss (car),-1.6910175125130156,-0.012270795630908715,-1.6787467168821069
SC2,Tehran,PCE-weighted VKT,-0.5107449261176678,0.019340715427373922,-0.5300856415450417
SC5,Region 12,Modal share: car,-2.119032775506724,1.6810307169871974,-3.8000634924939214
SC5,Region 12,Modal share: public transport,5.703087273485652,-1.2316790868040273,6.934766360289679
SC5,Region 12,Time loss (car),-8.757085419569355,-3.2477522668707515,-5.509333152698604
SC5,Region 12,PCE-weighted VKT,-1.9883716005364982,1.353852447942705,-3.342224048479203
SC5,Tehran,Modal share: car,-7.530913881924739,-6.049923087673892,-1.4809907942508476
SC5,Tehran,Modal share: public transport,33.296159632027496,20.510854983310445,12.785304648717052
SC5,Tehran,Time loss (car),-11.665677236845163,-8.936543982154955,-2.7291332546902076
SC5,Tehran,PCE-weighted VKT,-4.442229173803092,-3.1777013807029797,-1.2645277931001124
SC8,Region 12,Modal share: car,-5.41529818693326,0.0,-5.41529818693326
SC8,Region 12,Modal share: public transport,8.247952849283614,0.0,8.247952849283614
SC8,Region 12,Time loss (car),-14.724519700227312,-7.420096697708489,-7.304423002518822
SC8,Region 12,PCE-weighted VKT,-5.58330519288015,-1.98102406697106,-3.6022811259090903
SC8,Tehran,Modal share: car,-8.448762351642102,-6.083911971227341,-2.3648503804147616
SC8,Tehran,Modal share: public transport,34.78939944955861,18.778823857945337,16.01057559161327
SC8,Tehran,Time loss (car),-16.356814280425414,-12.705217343514397,-3.6515969369110177
SC8,Tehran,PCE-weighted VKT,-6.520644445083756,-4.894682118052851,-1.6259623270309058
