coef_k_speed_multiplier,coef_k_speed,geo,metric,mean_2024_2030,value_2030,delta_vs_SC0_pct
0.5,0.15,Tehran,Modal share: public transport,0.16084604584949494,0.1683078720910895,31.581307321957475
0.5,0.15,Tehran,Time loss (car),808641891.2185447,828105905.0024389,-11.271206502209695
0.5,0.15,Tehran,PCE-weighted VKT,68464053412.83406,69993717104.93816,-4.257867453988984
0.5,0.15,Tehran,CO₂ emissions,16206235.028951874,16495936.015457701,-4.3715681929918055
0.5,0.15,Tehran,PM₂.₅ emissions,1119.9691276238132,1147.9013396820283,-2.852551314723456
0.5,0.15,Region 12,Modal share: public transport,0.36363877730420857,0.36102525803128005,4.801797097216713
0.5,0.15,Region 12,Time loss (car),58254222.86131638,59932813.56464628,-8.02968503831769
0.5,0.15,Region 12,PCE-weighted VKT,983529029.060544,1009193941.3874263,-1.5807623085283966
0.5,0.15,Region 12,CO₂ emissions,227864.17802460847,231732.77856222988,-0.6772963463771843
0.5,0.15,Region 12,PM₂.₅ emissions,28.422118240661863,29.211617454720425,-2.1750223582484867
0.75,0.22499999999999998,Tehran,Modal share: public transport,0.16189091358819926,0.16979646449505548,32.436069167740726
0.75,0.22499999999999998,Tehran,Time loss (car),806848019.8745083,824916254.5332835,-11.468040282125258
0.75,0.22499999999999998,Tehran,PCE-weighted VKT,68398328577.1814,69879207910.58226,-4.349778984389879
0.75,0.22499999999999998,Tehran,CO₂ emissions,16195593.20090555,16475519.794955898,-4.4343626252465365
0.75,0.22499999999999998,Tehran,PM₂.₅ emissions,1119.5109436005785,1146.971955052697,-2.8922947395980727
0.75,0.22499999999999998,Region 12,Modal share: public transport,0.365200454976506,0.36336112653514946,5.2518773327644475
0.75,0.22499999999999998,Region 12,Time loss (car),58023980.00577159,59561550.44593274,-8.393186719432606
0.75,0.22499999999999998,Region 12,PCE-weighted VKT,981494610.1246339,1005863121.6893647,-1.7843414148905352
0.75,0.22499999999999998,Region 12,CO₂ emissions,227678.67125625716,231340.78411153497,-0.758156067016152
0.75,0.22499999999999998,Region 12,PM₂.₅ emissions,28.388768088142367,29.15759760589266,-2.289808944418594
1.0,0.3,Tehran,Modal share: public transport,0.16294229507291794,0.17129608110912162,33.296159632027496
1.0,0.3,Tehran,Time loss (car),805046828.6879815,821710419.3931628,-11.665677236845157
1.0,0.3,Tehran,PCE-weighted VKT,68332218552.91417,69763860383.57434,-4.442229173803092
1.0,0.3,Tehran,CO₂ emissions,16184884.331111012,16454942.298182795,-4.497552651989186
1.0,0.3,Tehran,PM₂.₅ emissions,1119.0500599232748,1146.0354730537292,-2.9322723356642517
1.0,0.3,Region 12,Modal share: public transport,0.3667660524728844,0.36570426632120684,5.703087273485646
1.0,0.3,Region 12,Time loss (car),57793485.677405514,59189792.82364064,-8.757085419569357
1.0,0.3,Region 12,PCE-weighted VKT,979455683.43617,1002522890.2038081,-1.988371600536498
1.0,0.3,Region 12,CO₂ emissions,227492.53599280212,230947.20333452892,-0.8392897395920915
1.0,0.3,Region 12,PM₂.₅ emissions,28.355332660961214,29.10340545287909,-2.4048890341129425
1.25,0.375,Tehran,Modal share: public transport,0.16400021019143707,0.1728067580505266,34.16159498416953
1.25,0.375,Tehran,Time loss (car),803238348.9593763,818488479.9175328,-11.864113931909943
1.25,0.375,Tehran,PCE-weighted VKT,68265722305.60189,69647671902.72726,-4.535219468806441
1.25,0.375,Tehran,CO₂ emissions,16174108.16441384,16434202.85708613,-4.561139778814173
1.25,0.375,Tehran,PM₂.₅ emissions,1118.5864679278206,1145.091867446818,-2.9724848544546956
1.25,0.375,Region 12,Modal share: public transport,0.36833552342447456,0.368054582611073,6.155413555731737
1.25,0.375,Region 12,Time loss (car),57562750.84645591,58817565.516023204,-9.121363819190018
1.25,0.375,Region 12,PCE-weighted VKT,977412312.1648673,999173390.7942419,-2.1928465442342557
1.25,0.375,Region 12,CO₂ emissions,227305.7750083766,230552.04756317407,-0.9206961549003877
1.25,0.375,Region 12,PM₂.₅ emissions,28.321812908685477,29.049043124582006,-2.520259359053743
1.5,0.44999999999999996,Tehran,Modal share: public transport,0.16506467844423436,0.1743285306432768,35.03239117667803
1.5,0.44999999999999996,Tehran,Time loss (car),801422613.1855087,815250519.7573185,-12.063346801583904
1.5,0.44999999999999996,Tehran,PCE-weighted VKT,68198838824.16746,69530639909.13318,-4.628751283319688
1.5,0.44999999999999996,Tehran,CO₂ emissions,16163264.448572129,16413300.81312463,-4.625125494129981
1.5,0.44999999999999996,Tehran,PM₂.₅ emissions,1118.120159083496,1144.141112460573,-3.0129330359341555
1.5,0.44999999999999996,Region 12,Modal share: public transport,0.36991710668544087,0.37046998030803135,6.611230642228762
1.5,0.44999999999999996,Region 12,Time loss (car),57331011.05651907,58439464.94521794,-9.487228823009309
1.5,0.44999999999999996,Region 12,PCE-weighted VKT,975360723.994687,995787915.3792138,-2.398143732014118
1.5,0.44999999999999996,Region 12,CO₂ emissions,227117.4858498405,230148.99128362763,-1.0027686792286767
1.5,0.44999999999999996,Region 12,PM₂.₅ emissions,28.288055515035285,28.993432826317292,-2.636447612550955
