scenario,geo,metrics,stable,min_sign,median_span,max_span
SC1,Region 12,11,11,1.0,0.09085553214460818,0.2404512725143615
SC1,Tehran,11,11,1.0,0.2394746729373307,1.041411634272938
SC10,Region 12,11,11,1.0,1.793743926337985,5.39205465540142
SC10,Tehran,11,11,1.0,2.4955690682870237,9.893265085276347
SC11,Region 12,11,11,1.0,1.3128158128962166,3.701939628888713
SC11,Tehran,11,11,1.0,2.333192078793351,9.963185358139533
SC2,Region 12,11,11,1.0,0.15411393561207876,0.5310829796667318
SC2,Tehran,11,10,0.75,0.22660988526934456,0.5491767560649219
SC3,Region 12,11,11,1.0,0.09043089298089885,0.2791734050424284
SC3,Tehran,11,10,0.75,0.030190676716913556,0.08287108403543186
SC4,Region 12,11,11,1.0,0.6074983880024715,1.7678641983816257
SC4,Tehran,11,11,1.0,0.5347610793274216,1.4615547887318656
SC5,Region 12,11,11,1.0,0.7981112142769116,2.9745341867673973
SC5,Tehran,11,11,1.0,1.944990397706742,8.300973106163504
SC6,Region 12,11,11,1.0,0.9064909986099605,3.5952234891313695
SC6,Tehran,11,11,1.0,2.200919760755878,9.913466779403123
SC7,Region 12,11,11,1.0,0.2617134740954883,5.475152426870415
SC7,Tehran,11,11,1.0,0.2901244902546035,8.509098110825418
SC8,Region 12,11,11,1.0,1.4306708598286866,4.6214296936813675
SC8,Tehran,11,11,1.0,2.615958909132573,11.593007305218418
SC9,Region 12,11,11,1.0,1.2068402295094773,3.649761914552764
SC9,Tehran,11,11,1.0,2.2846071115922086,9.772401366013703
