scenario,geo,metrics,stable,min_sign,median_span,max_span
SC1,Region 12,11,11,1.0,0.10028740322805141,0.3019107345977261
SC1,Tehran,11,11,1.0,0.35318777908745747,1.6373513815224543
SC10,Region 12,11,11,1.0,1.936413714400408,4.208113530069376
SC10,Tehran,11,11,1.0,2.09683618510093,13.089875984121669
SC11,Region 12,11,11,1.0,1.8614903033811192,3.5182146368222114
SC11,Tehran,11,11,1.0,1.9753108401690893,13.92335840594085
SC2,Region 12,11,11,1.0,0.1404087723326839,0.6663243071467024
SC2,Tehran,11,10,0.84375,0.18561165029113952,0.484535749112289
SC3,Region 12,11,11,1.0,0.08814856226476198,0.5251729703704536
SC3,Tehran,11,10,0.6875,0.029844183652026443,0.0782191113592745
SC4,Region 12,11,11,1.0,0.616006585640193,1.489520333095383
SC4,Tehran,11,11,1.0,0.6160065856401991,1.7892565012093051
SC5,Region 12,11,11,1.0,0.6299021087542309,2.5857757414201386
SC5,Tehran,11,11,1.0,1.5764304368255657,11.287774946732686
SC6,Region 12,11,11,1.0,0.9045113643797398,3.591097445496917
SC6,Tehran,11,11,1.0,2.017159955820281,15.896057922441365
SC7,Region 12,11,11,1.0,0.35923892496135124,5.108770564339244
SC7,Tehran,11,11,1.0,0.23827434062872666,12.037723821282968
SC8,Region 12,11,11,1.0,1.9972421602848565,2.988954454523242
SC8,Tehran,11,11,1.0,2.217514079657035,17.902542608138486
SC9,Region 12,11,11,1.0,1.218138001197003,2.826569451513441
SC9,Tehran,11,11,1.0,1.8568539178421641,12.729923003793886
