scenario,geo,metric,effect,n,median,p05,p25,p75,p95,min,max,sign_fraction,all_same_direction,span90
SC1,Region 12,CO₂ emissions,delta_mean_pct,8,-0.2103353710615049,-0.225566854723393,-0.2188205015524456,-0.2036086502737761,-0.199265405548439,-0.2267321842602357,-0.1972697343757579,1.0,True,0.026301449174954
SC1,Region 12,CO₂ emissions,delta_2030_pct,8,-0.5394640589412436,-0.5704932356337545,-0.5590612833570063,-0.5178947551588025,-0.5081297922864344,-0.5731412617084263,-0.5029131484309372,1.0,True,0.0623634433473201
SC1,Region 12,Congestion index,delta_mean_pct,8,-2.2075832471248877,-2.303559211293837,-2.240292726778912,-2.175379042315492,-2.163574012447796,-2.333689927507277,-2.1582091206335288,1.0,True,0.1399851988460403
SC1,Region 12,Congestion index,delta_2030_pct,8,-4.26927116871836,-4.644013349366053,-4.398849131760531,-4.1518460414327,-4.128333764758309,-4.763735111208691,-4.1175452507989805,1.0,True,0.515679584607744
SC1,Region 12,Electricity use,delta_mean_pct,8,0.6041080722079746,0.5383813155092978,0.5663661354710099,0.6372532473836823,0.6714024731655495,0.5372925031067632,0.6795571607432289,1.0,True,0.1330211576562516
SC1,Region 12,Electricity use,delta_2030_pct,8,1.162686618891155,1.0577879537667234,1.1050066335507358,1.2620092480775074,1.3224696936389029,1.0543622980649392,1.335483701093218,1.0,True,0.2646817398721794
SC1,Region 12,Final energy,delta_mean_pct,8,-0.2940469710646548,-0.3108935517115553,-0.3036676412542179,-0.2796161359709824,-0.2694712856044511,-0.3147595371085311,-0.2641242556270707,1.0,True,0.0414222661071042
SC1,Region 12,Final energy,delta_2030_pct,8,-0.709629995128737,-0.7556889423436127,-0.7388402623826936,-0.6810546024755275,-0.6572137166672757,-0.7620803797188942,-0.6455342490858409,1.0,True,0.098475225676337
SC1,Region 12,Health indicator,delta_mean_pct,8,-0.87378545270887,-0.9353323324775852,-0.8955962695236424,-0.8529477005131432,-0.844476800332977,-0.9542545935853278,-0.8413659170476278,1.0,True,0.0908555321446081
SC1,Region 12,Health indicator,delta_2030_pct,8,-1.7688989533399706,-1.9712146298402828,-1.835861508367881,-1.6999071500814853,-1.6847616381032609,-2.0404517957225647,-1.6786976418961923,1.0,True,0.286452991737022
SC1,Region 12,Modal share: car,delta_mean_pct,8,-0.7380030501963639,-0.7924065098285077,-0.7732735166956781,-0.6939086157491811,-0.674180955075631,-0.7936217101536279,-0.6639695022717156,1.0,True,0.1182255547528766
SC1,Region 12,Modal share: car,delta_2030_pct,8,-1.563054715177477,-1.694106522801306,-1.653878980640545,-1.4887379621294985,-1.4235219902931329,-1.7001526146451151,-1.4024037615253768,1.0,True,0.270584532508173
