scenario,geo,metric,effect,n,median,p05,p25,p75,p95,min,max,sign_fraction,all_same_direction,span90
SC1,Region 12,CO₂ emissions,delta_mean_pct,32,-0.2124185686936858,-0.2464423376347522,-0.2217940159945087,-0.2055899036960331,-0.1980683970075689,-0.2537598718838921,-0.1853204834234671,1.0,True,0.0483739406271832
SC1,Region 12,CO₂ emissions,delta_2030_pct,32,-0.5462160606125144,-0.6476243652100604,-0.5682573060696957,-0.5209545211825918,-0.4758799243333479,-0.6898155316119583,-0.455811220597171,1.0,True,0.1717444408767124
SC1,Region 12,Congestion index,delta_mean_pct,32,-2.2433830795766534,-2.4028774933652386,-2.2798550903250367,-2.188110200598623,-2.162600080607423,-2.447081105773512,-2.1556313768985302,1.0,True,0.2402774127578157
SC1,Region 12,Congestion index,delta_2030_pct,32,-4.213152971417895,-5.201426140067312,-4.471945234258362,-4.167432165738779,-4.120216816824346,-5.353745916256008,-4.041779974710165,1.0,True,1.081209323242966
SC1,Region 12,Electricity use,delta_mean_pct,32,0.5916968663663216,0.5573970570420375,0.5733468453874813,0.6221445554882226,0.8057606872565858,0.54796532034892,0.9615985709430548,1.0,True,0.2483636302145483
SC1,Region 12,Electricity use,delta_2030_pct,32,1.1571383435637423,1.1035953432577206,1.1309641913681572,1.2065070229984112,1.4159323432225788,1.0917934469802404,1.9509866869200516,1.0,True,0.3123369999648582
SC1,Region 12,Final energy,delta_mean_pct,32,-0.2956973003090691,-0.3197781816840077,-0.3056421123616952,-0.289042789785971,-0.274116151306616,-0.3309535728371113,-0.2569157264479207,1.0,True,0.0456620303773916
SC1,Region 12,Final energy,delta_2030_pct,32,-0.7175435099938268,-0.791788830206203,-0.7447162781100125,-0.6996789961375347,-0.6331842111036924,-0.8302131399293851,-0.6008503203654489,1.0,True,0.1586046191025106
SC1,Region 12,Health indicator,delta_mean_pct,32,-0.8945101925975403,-0.953458686055406,-0.9244203460788324,-0.8648624522426305,-0.8531712828273545,-0.9761915058506038,-0.8481848452277078,1.0,True,0.1002874032280514
SC1,Region 12,Health indicator,delta_2030_pct,32,-1.7506813848687974,-2.081882533795464,-1.8775825530082328,-1.724263158325193,-1.7038601721887503,-2.111639147188752,-1.6853389031337045,1.0,True,0.3780223616067137
SC1,Region 12,Modal share: car,delta_mean_pct,32,-0.7473698533974127,-0.7840537023992492,-0.7697380927532217,-0.7281585635338006,-0.6508140828049318,-0.8316523204000711,-0.6090148528383226,1.0,True,0.1332396195943174
SC1,Region 12,Modal share: car,delta_2030_pct,32,-1.5892188626748869,-1.6660066196836427,-1.6235404734001064,-1.5338846047890242,-1.3547325921668292,-1.8152099266733568,-1.2586099167986906,1.0,True,0.3112740275168135
SC1,Region 12,Modal share: public transport,delta_mean_pct,32,0.5067757166221346,0.4681024053214656,0.4908855230082483,0.5368202874723438,0.6482974031552022,0.3817992001580744,0.7497201090966492,1.0,True,0.1801949978337366
SC1,Region 12,Modal share: public transport,delta_2030_pct,32,1.068669641034345,0.9268382561403326,1.0348566515288418,1.137916168879328,1.324308497402474,0.6800174462982783,1.7242244725275566,1.0,True,0.3974702412621416
SC1,Region 12,NOₓ emissions,delta_mean_pct,32,-0.2790570476282009,-0.3031135575936267,-0.2906136262531487,-0.2724600627195427,-0.2649022078266598,-0.3063666365380679,-0.2584820765046897,1.0,True,0.0382113497669668
SC1,Region 12,NOₓ emissions,delta_2030_pct,32,-0.6678176172923498,-0.7412478241269561,-0.6959160339793518,-0.6492691953392602,-0.6154063328419022,-0.7625401155318029,-0.6055403016375142,1.0,True,0.1258414912850539
SC1,Region 12,PM₂.₅ emissions,delta_mean_pct,32,-0.1504109286704246,-0.1740265779796857,-0.1585209949889252,-0.1392929168769848,-0.117904969004113,-0.1904504472233561,-0.1076401708308711,1.0,True,0.0561216089755727
SC1,Region 12,PM₂.₅ emissions,delta_2030_pct,32,-0.3454684803455151,-0.388859771569746,-0.3596032617645903,-0.332969441445776,-0.2960442258603882,-0.4071056769291529,-0.2691734213791858,1.0,True,0.0928155457093577
SC1,Region 12,Time loss (car),delta_mean_pct,32,-4.186970479135672,-4.404007812815837,-4.2645834355572205,-4.143127291512292,-4.102097078218111,-4.481165939062962,-3.9830833051843255,1.0,True,0.3019107345977261
SC1,Region 12,Time loss (car),delta_2030_pct,32,-7.976745855363392,-9.277616363195245,-8.371572793812035,-7.857394716298009,-7.662363002436004,-9.58292229959796,-7.592533377636198,1.0,True,1.6152533607592403
SC1,Region 12,PCE-weighted VKT,delta_mean_pct,32,-2.220858403810796,-2.2488434914850752,-2.240239323964897,-2.2024518170403287,-2.1913299047160946,-2.260294248884657,-2.178111704254644,1.0,True,0.0575135867689806
SC1,Region 12,PCE-weighted VKT,delta_2030_pct,32,-4.321663367157243,-4.405175395818029,-4.36780597709787,-4.294039361512115,-4.251793308271967,-4.422396809860914,-4.206276196002743,1.0,True,0.1533820875460616
SC1,Tehran,CO₂ emissions,delta_mean_pct,32,-2.308142263531693,-2.5872385588692146,-2.403036861506155,-2.2323177470898328,-2.2180609952063954,-2.613136911285617,-2.21735250177912,1.0,True,0.3691775636628192
SC1,Tehran,CO₂ emissions,delta_2030_pct,32,-4.27651977477502,-5.495802748771448,-4.690099776799294,-4.250889372831041,-4.226032467831081,-5.660733927210839,-4.221704490282571,1.0,True,1.2697702809403664
SC1,Tehran,Congestion index,delta_mean_pct,32,-2.243383079576658,-2.402877493365236,-2.2798550903250474,-2.1881102005985893,-2.1626000806074472,-2.447081105773531,-2.1556313768985342,1.0,True,0.2402774127577887
SC1,Tehran,Congestion index,delta_2030_pct,32,-4.213152971417884,-5.20142614006731,-4.4719452342583725,-4.167432165738761,-4.120216816824336,-5.353745916256024,-4.041779974710174,1.0,True,1.081209323242974
SC1,Tehran,Electricity use,delta_mean_pct,32,-1.0057153021622436,-1.2679411466105843,-1.056135471808409,-0.9543439745365012,-0.9147533675231272,-1.2871370236091266,-0.8865348521424353,1.0,True,0.3531877790874574
