metric,truth_column
concentration_PM25_ugm3,concentration_PM25_ugm3_truth
concentration_NO2_ugm3,concentration_NO2_ugm3_truth
fuel_gasoline_litre_year,fuel_gasoline_litre_year_truth
fuel_CNG_kg_year,fuel_CNG_kg_year_truth
share_taxi_gasoline,share_taxi_gasoline_truth
share_taxi_CNG,share_taxi_CNG_truth
spd_mot,spd_mot_truth
spd_car,spd_car_truth
spd_tax,spd_tax_truth
spd_bus,spd_bus_truth
spd_met,spd_met_truth
trips_per_year,trips_per_year_truth
trips_bus_total,trips_bus_total_truth
trips_metro,trips_metro_truth
trips_per_person_per_day,trips_per_person_per_day_truth
modal_share_car,modal_share_car_truth
modal_share_taxi,modal_share_taxi_truth
modal_share_bus,modal_share_bus_truth
modal_share_metro,modal_share_metro_truth
modal_share_motorcycle,modal_share_motorcycle_truth
modal_share_other,modal_share_other_truth
modal_share_car_r12,modal_share_car_r12_truth
modal_share_tax_r12,modal_share_tax_r12_truth
modal_share_bus_r12,modal_share_bus_r12_truth
modal_share_met_r12,modal_share_met_r12_truth
modal_share_mot_r12,modal_share_mot_r12_truth
modal_share_oth_r12,modal_share_oth_r12_truth
brt_share_of_bus,brt_share_of_bus_truth
annual_km_car,annual_km_car_truth
annual_km_taxi,annual_km_taxi_truth
annual_km_motorcycle,annual_km_motorcycle_truth
