agent_id,declared_functional_role
vkm_pce_total,ABM behavioral mediation / competition / exposure
modal_share_PT,ABM behavioral mediation / competition / exposure
modal_share_PT_r12,ABM behavioral mediation / competition / exposure
share_vkm_car_city_tfp,ABM behavioral mediation / competition / exposure
trips_car_city_tfp,ABM behavioral mediation / competition / exposure
trp_r12_tfp,ABM behavioral mediation / competition / exposure
vkm_car_city_tfp,ABM behavioral mediation / competition / exposure
trp_tfp,ABM behavioral mediation / competition / exposure
trip_length_metro_km,ABM behavioral mediation / competition / exposure
modal_share_bik,ABM behavioral mediation / competition / exposure
modal_share_motorcycle,ABM behavioral mediation / competition / exposure
modal_share_car,ABM behavioral mediation / competition / exposure
modal_share_taxi,ABM behavioral mediation / competition / exposure
modal_share_bus,ABM behavioral mediation / competition / exposure
modal_share_metro,ABM behavioral mediation / competition / exposure
modal_share_other,ABM behavioral mediation / competition / exposure
modal_share_mot_r12,ABM behavioral mediation / competition / exposure
modal_share_car_r12,ABM behavioral mediation / competition / exposure
modal_share_tax_r12,ABM behavioral mediation / competition / exposure
modal_share_bus_r12,ABM behavioral mediation / competition / exposure
modal_share_met_r12,ABM behavioral mediation / competition / exposure
modal_share_oth_r12,ABM behavioral mediation / competition / exposure
PT_trips_total_r12,ABM behavioral mediation / competition / exposure
bus_vehicles_per_km,ABM behavioral mediation / competition / exposure
brt_vehicles_per_km,ABM behavioral mediation / competition / exposure
pt_bus_service_index,ABM behavioral mediation / competition / exposure
commute_share_of_trips,ABM behavioral mediation / competition / exposure
telework_trip_multiplier,ABM behavioral mediation / competition / exposure
vkt_pce_per_capita_city,ABM behavioral mediation / competition / exposure
vkt_pce_per_capita_r12,ABM behavioral mediation / competition / exposure
vkt_pc_ratio_r12_vs_city,ABM behavioral mediation / competition / exposure
adj_factor_car_policy,ABM behavioral mediation / competition / exposure
adj_factor_bus_policy,ABM behavioral mediation / competition / exposure
adj_factor_metro_policy,ABM behavioral mediation / competition / exposure
adj_factor_taxi_policy,ABM behavioral mediation / competition / exposure
adj_factor_motorcycle_policy,ABM behavioral mediation / competition / exposure
adj_factor_other_policy,ABM behavioral mediation / competition / exposure
policy_norm_denom_city,ABM behavioral mediation / competition / exposure
modal_share_car_adj,ABM behavioral mediation / competition / exposure
modal_share_bus_adj,ABM behavioral mediation / competition / exposure
modal_share_metro_adj,ABM behavioral mediation / competition / exposure
modal_share_taxi_adj,ABM behavioral mediation / competition / exposure
modal_share_motorcycle_adj,ABM behavioral mediation / competition / exposure
modal_share_other_adj,ABM behavioral mediation / competition / exposure
adj_factor_car_policy_r12,ABM behavioral mediation / competition / exposure
adj_factor_bus_policy_r12,ABM behavioral mediation / competition / exposure
adj_factor_metro_policy_r12,ABM behavioral mediation / competition / exposure
adj_factor_tax_policy_r12,ABM behavioral mediation / competition / exposure
adj_factor_mot_policy_r12,ABM behavioral mediation / competition / exposure
adj_factor_oth_policy_r12,ABM behavioral mediation / competition / exposure
policy_norm_denom_r12,ABM behavioral mediation / competition / exposure
modal_share_car_r12_adj,ABM behavioral mediation / competition / exposure
modal_share_bus_r12_adj,ABM behavioral mediation / competition / exposure
modal_share_met_r12_adj,ABM behavioral mediation / competition / exposure
modal_share_tax_r12_adj,ABM behavioral mediation / competition / exposure
modal_share_mot_r12_adj,ABM behavioral mediation / competition / exposure
modal_share_oth_r12_adj,ABM behavioral mediation / competition / exposure
